gname,log2FoldChange,pvalue
mhpA,-2.116625125,1.37382E-07
mhpB,-3.551272127,2.97349E-11
mhpC,-2.313877978,9.56095E-09
mhpD,-2.070123926,1.82915E-05
mhpF,-1.112104528,0.002228354
mhpE,-1.156864119,6.97162E-07
mhpT,-0.507141736,0.039485266
yaiL,-0.535491188,0.001119911
frmB,0.196049434,0.419956704
frmA,-0.395902673,0.000221449
frmR,-0.210004211,0.137777656
yaiO,-0.657126964,0.015074562
insC1,-0.216211619,0.218370372
insD1,-0.213154608,0.237670172
yaiP,-0.405761395,0.424346822
tauA,-0.49341354,0.525706911
tauB,-0.076370228,0.920136902
tauC,-0.169971085,0.772990991
tauD,-0.076680082,0.826460125
hemB,0.764532005,2.61545E-08
ytiB,0.293837913,0.769501501
insF2,-0.173640562,0.473311201
insE2,0.362093675,0.218205644
ampH,0.352114669,0.057596358
sbmA,-0.631410066,0.008766189
yaiW,-0.263337745,0.091568106
yaiY,-0.002669159,0.99469214
yaiZ,0.451094811,0.009194369
ddlA,0.453345148,0.000455036
iraP,1.513662609,2.5528E-08
phoA,0.971410002,6.12638E-05
psiF,-1.629399433,4.19575E-46
dgcC,-0.199270493,0.590627784
proC,-0.503294884,5.67826E-05
yaiI,0.263677155,0.182310163
aroL,0.748525896,0.000486277
yaiA,-0.975326689,5.77629E-07
aroM,-0.097908522,0.801454895
ppnP,0.199388698,0.08075815
rdgC,-0.192668772,0.32075832
mak,-0.888105994,4.51332E-14
araJ,-0.667907506,0.001138066
sbcC,0.876624696,4.15452E-08
sbcD,-0.086011603,0.649907787
phoB,-0.122154645,0.492655431
phoR,-0.180424323,0.387573743
brnQ,-0.962804163,8.69174E-18
proY,0.294514545,0.128978123
malZ,-0.0378804,0.80315299
acpH,-1.059135833,3.07955E-07
queA,0.13825362,0.612744079
tgt,0.914223397,1.97488E-10
yajC,0.61037257,4.26335E-07
secD,0.400530927,0.000542189
secF,-0.483995899,6.52264E-05
yajD,0.193077429,0.212791456
tsx,1.214980712,9.78598E-26
yajI,-0.64162467,0.009741989
nrdR,0.273544325,0.01973973
ribD,0.430034049,8.47329E-05
ribE,0.399487389,0.001797472
nusB,0.507838168,0.000106203
thiL,0.338747044,0.026440694
pgpA,0.335898864,0.003212737
yajO,-0.403903108,3.24403E-05
dxs,0.1133713,0.345990443
ispA,0.636257682,0.000179605
xseB,0.797643475,1.71393E-06
thiI,0.270410126,0.157548979
yajL,-0.316998128,0.020384441
panE,0.14059075,0.246125227
yajQ,0.108821816,0.325173812
yajR,0.178213401,0.408421064
cyoE,-2.811742511,7.1425E-115
cyoD,-2.549156303,2.72888E-90
cyoC,-2.266527562,6.19539E-83
cyoB,-1.152512966,4.69993E-34
cyoA,0.216911056,0.036981694
ampG,0.298724191,0.245998979
yajG,0.713974303,6.08792E-05
bolA,-0.771068633,2.12592E-15
tig,0.596189008,1.05275E-08
clpP,-0.683461674,1.86862E-09
clpX,-0.730716589,2.54203E-14
lon,-0.107733221,0.265602099
hupB,0.90337952,4.03333E-13
ppiD,0.532288153,1.26193E-06
ybaV,0.3195627,0.080832512
fadM,-0.603948916,0.081645087
queC,0.381151752,0.026478138
ybaE,1.426595814,2.23716E-27
cof,0.100488837,0.633225636
decR,-0.20567985,0.293552819
mdlA,-0.234952675,0.243849687
mdlB,-0.592198644,0.00325496
amtB,-0.286221114,0.125355392
tesB,-0.793998911,4.37785E-10
ybaY,-2.724678913,2.0098E-183
ybaZ,0.533755876,0.019918174
ffs,-1.711875543,8.07791E-15
ybaA,-1.991629864,2.89053E-21
pdeB,-0.652907921,1.05237E-05
ylaC,0.373735094,0.011520918
maa,1.119496118,2.04865E-05
hha,1.096372344,4.03061E-05
tomB,0.262893582,0.042278389
acrB,0.339387017,0.000502517
acrA,0.520092242,2.29643E-05
acrR,0.230608004,0.396415478
mscK,0.231334983,0.120825952
ybaM,0.352007554,0.398307854
priC,0.556207502,0.004170218
ybaN,-0.310858203,0.189282491
apt,0.848268181,0.002052969
dnaX,0.803749741,3.85856E-09
ybaB,0.375762775,0.006739643
recR,0.516798152,0.000596877
htpG,-0.019363201,0.845801952
adk,0.766828292,8.8363E-09
hemH,-1.156562722,5.51167E-27
aes,0.805823347,2.18216E-06
gsk,0.546224089,0.002247273
ybaL,-0.720280137,2.30968E-11
fsr,0.213985993,0.193744485
ushA,-0.346654991,0.000952081
ybaK,-0.263129647,0.230080467
ybaP,0.793393712,7.83871E-06
ybaQ,0.739881889,0.000346533
copA,0.138475631,0.14940367
glsA,-0.986565837,5.42668E-28
ybaT,-1.370413469,8.20168E-33
cueR,-0.618466435,4.7851E-05
ybbJ,-0.517881066,0.000267437
qmcA,-0.289531697,0.004863066
fetA,0.358910884,0.109397077
fetB,0.308906597,0.104591496
cnoX,-0.213284062,0.062555585
ybbO,0.573622548,0.002177278
tesA,-0.000217845,0.998949254
ybbA,-0.11104972,0.492132002
ybbP,-0.362132837,0.022690848
rhsD,-0.121188888,0.409071121
ylbG,0.281340939,0.308435809
selU,0.091020358,0.682739488
allS,0.221080825,0.584667439
allA,0.123696376,0.658443046
allR,0.07362425,0.825371368
gcl,-1.151278509,3.91448E-09
hyi,-0.686819899,0.378843268
glxR,0.068699019,0.903811915
ybbW,0.020900638,0.982680091
allB,-0.210898817,0.40698938
ybbY,0.330855409,0.519513768
glxK,-0.405191813,0.146703095
allE,1.142437667,2.88149E-07
allC,0.719743708,0.016885036
allD,2.184222806,3.59278E-05
fdrA,-0.209085291,0.72229606
ylbE,0.162678878,0.682056343
ylbF,-0.19662473,0.658453167
ybcF,0.414465684,0.338316384
purK,0.635847777,0.062416831
purE,1.069800021,0.063599806
lpxH,-0.008136128,0.97945709
ppiB,-0.212429241,0.122231846
cysS,0.080823739,0.630370826
ybcI,-0.471246426,0.465465765
ybcJ,0.77558517,0.100025021
folD,1.067889376,1.72058E-14
sfmA,0.186830595,0.840673959
sfmD,-0.297217427,0.562069603
intD,0.51226397,0.002031305
insE3,0.23112092,0.421650886
insF3,-0.411020586,0.078442132
emrE,0.293509518,0.565162529
ybcL,0.372943591,0.429109375
ybcM,1.155588395,1.11441E-05
insH2,1.08427863,1.72312E-18
rrrD,-0.106422254,0.905541653
borD,2.380296034,6.87199E-08
ybcW,1.062181859,0.115122015
ylcI,0.226336143,0.671783741
nohD,0.504301768,0.314900267
tfaD,-0.363619307,0.625343926
appY,-0.351976764,0.57450317
ompT,1.933980852,1.53009E-54
envY,0.700156746,0.13323716
ybcH,-0.033406074,0.8974494
nfrA,0.089852392,0.536182397
nfrB,-0.833425063,6.16989E-06
cusS,-0.602845072,0.028930607
cusR,-0.768587205,0.000297416
cusC,1.199258422,0.008797347
cusB,0.579319233,0.213117803
cusA,-0.309353656,0.155876023
pheP,0.078434975,0.753096641
ybdG,0.384964277,0.017579473
nfsB,0.521434989,7.56452E-05
ybdF,0.334525383,0.210145762
ybdJ,-0.918705165,0.003394109
ybdK,-1.306823837,1.93497E-35
insL2,0.134759454,0.488069549
entD,0.141217279,0.842077704
fepA,-0.383137349,0.053483176
fes,0.177397237,0.811412712
entF,-0.04209982,0.855143542
fepC,-0.182483299,0.798078781
fepG,-0.595515585,0.144521436
fepD,-1.121745754,0.135448413
entS,-0.203578359,0.735020946
fepB,0.038848215,0.941341351
entC,0.403730021,0.649980289
entE,-0.85489214,0.003532826
entB,-0.075207019,0.848903704
entA,-0.547239179,0.024856372
entH,0.178769282,0.80812301
cstA,-0.575526536,1.36489E-07
ybdD,-0.205424657,0.12648745
hcxA,-0.273648519,0.028187448
ybdL,0.320714209,0.091531992
ybdM,0.1667182,0.614165509
ybdN,0.320950892,0.643219775
dsbG,-0.853310245,3.00865E-06
ahpC,-0.053546541,0.5931072
ahpF,0.157041422,0.124224545
uspG,-0.694928027,6.5736E-12
ybdR,-0.484445759,0.023334617
yldA,0.241188057,0.504091249
rnk,1.459495721,5.94421E-17
rna,0.061656399,0.663021938
citT,1.00359331,0.022392711
citG,-0.295016618,0.682858933
citX,1.843793293,0.000565793
citF,3.127002077,3.47814E-15
citE,1.95459588,6.31447E-08
citC,3.234501988,3.77727E-09
dpiB,0.141695807,0.490826017
dpiA,1.4595175,9.16653E-07
dcuC,3.436871004,6.6087E-112
pagP,0.035618966,0.916487549
cspE,-1.090401025,0.000831681
crcB,0.609452675,0.01984723
tatE,0.739194682,5.57368E-06
lipA,1.131788441,2.24744E-22
ybeF,-0.722567431,0.100689655
lipB,0.804808937,0.001970905
ybeD,-0.029081316,0.907179832
dacA,0.25392438,0.154552764
rlpA,-0.218176898,0.075043439
mrdB,-0.513957404,0.001088843
mrdA,0.409184648,0.04242081
rlmH,0.404677622,0.095061731
rsfS,0.342345516,0.147275007
cobC,0.066285751,0.865561323
nadD,-0.305758798,0.154152121
holA,-0.210246758,0.194664573
lptE,-0.080472309,0.597562705
leuS,-0.32711455,0.00061548
ybeL,-0.431325236,2.86158E-05
ybeQ,-0.367368772,0.025567695
djlB,0.490946057,0.491043375
djlC,-0.77525005,0.039095546
hscC,0.662712544,0.057030846
rihA,1.387885318,1.34706E-38
gltL,-1.108260815,4.60123E-10
gltK,-1.171741532,2.01231E-09
gltJ,-0.897395321,4.29039E-06
sroC,-0.966975369,2.30715E-08
gltI,-0.540648906,5.20934E-08
insH3,0.745117701,7.15499E-09
lnt,-0.064397472,0.634348946
ybeX,-0.721340223,7.56409E-12
ybeY,-0.661555481,8.86772E-08
ybeZ,-0.810371995,1.80391E-16
miaB,-0.155074765,0.248919913
ubiF,-0.841811514,2.84252E-14
glnX,-0.040351803,0.808479933
glnV,-0.029582954,0.892620569
metU,-1.524568066,0.048162908
glnW,0.531603011,0.024345646
glnU,0.798177985,0.000825704
leuW,-0.082434631,0.793949914
metT,-0.841164387,0.0057209
asnB,-0.614727883,1.74104E-08
umpH,0.142436333,0.330339672
nagC,0.069377666,0.568393538
nagA,0.243441606,0.020223346
nagB,0.434339616,0.000184314
nagE,1.249315088,1.81371E-37
glnS,0.036012003,0.743805521
chiP,1.438277014,1.32277E-05
chiQ,0.003619412,0.993386228
fur,0.022433724,0.876218825
uof,0.457192873,0.118528378
fldA,-0.490415699,3.62894E-05
ybfE,0.370010038,0.458233252
ybfF,0.504243455,0.00547471
seqA,0.510365909,0.000308376
pgm,0.298703061,0.003108082
ybfP,0.265845129,0.765196658
potE,-0.673901647,0.004072228
speF,0.492517378,0.310413232
kdpE,-0.936302656,6.10377E-08
kdpD,-0.634793625,9.90186E-09
kdpC,-0.949747923,0.000370779
kdpB,0.353185423,0.213285445
kdpA,0.323111968,0.581596584
ybfA,0.012669298,0.949669487
rhsC,0.118954864,0.488939293
ybgA,-1.10949535,3.24546E-10
phr,-0.849482705,4.40047E-10
dtpD,-1.046409484,1.77277E-06
ybgI,-0.440436598,1.34922E-05
pxpB,-0.468884982,0.000296999
pxpC,-0.230029123,0.03604769
pxpA,-0.380290813,0.001288339
nei,0.029723906,0.87694492
abrB,1.531331952,1.88092E-17
ybgO,-0.991465713,0.050441977
ybgQ,-0.501852079,0.28354863
gltA,-2.115477576,2.3069E-119
ybgV,-1.062503969,2.87889E-08
sdhC,0.400156913,1.74457E-05
sdhD,-0.314277576,0.00210125
sdhA,-1.323247738,4.42187E-48
sdhB,-1.769613583,3.60704E-78
sucA,-2.173703471,1.0111E-132
sucB,-2.217942133,4.5969E-130
sucC,-2.53373087,1.1657E-166
sucD,-2.409604133,7.3959E-151
mngR,0.232241035,0.463132785
mngA,0.11218256,0.860437387
mngB,0.415398468,0.033793561
cydA,1.578815834,4.44824E-67
cydB,2.069331995,2.4486E-105
cydX,2.216762533,7.47514E-35
ybgE,1.959611211,2.73208E-40
ybgC,-0.622801828,0.007173962
tolQ,0.000204101,0.999290689
tolR,0.211312823,0.439031781
tolA,-0.318225357,0.029814875
tolB,0.373596115,0.000157248
pal,1.068093759,1.06993E-19
cpoB,0.258080353,0.03715174
lysT,-0.077652226,0.76914437
valT,0.227485563,0.437575818
lysW,0.18000029,0.620502624
valZ,0.298565021,0.302722014
lysY,-0.294856983,0.603810438
lysZ,-0.193709214,0.662442676
nadA,0.010062883,0.954283073
pnuC,-0.728439535,3.02592E-06
zitB,-0.436356115,0.000981791
ybgS,-2.308521116,5.40324E-78
aroG,0.215225094,0.034532646
gpmA,-0.858234269,1.48337E-21
galM,-0.437401455,9.88765E-06
galK,0.472928488,4.77094E-06
galT,0.837717635,4.81828E-12
galE,0.653219351,3.11977E-08
modF,0.19312892,0.146417412
modE,0.3650751,0.034363935
acrZ,-0.383747828,0.176515914
modA,0.728778073,0.000168575
modB,0.215278171,0.294075432
modC,-0.475241879,0.010015701
ybhA,0.093219558,0.691820092
pgl,-0.592403919,2.88454E-09
ybhD,-0.609361436,0.165284012
ybhJ,0.022227337,0.937690047
ybhC,0.502947428,0.003700027
ybhB,-1.00203648,9.01982E-19
bioA,0.159553809,0.648726744
bioB,0.073045627,0.851357684
bioF,-0.644296163,0.150381808
bioC,-0.91371932,0.09287563
bioD,-0.149737408,0.784636022
uvrB,-0.153029457,0.131602915
ybhK,-0.157451732,0.401343566
moaA,0.304221053,0.02403152
moaB,0.834034804,2.62263E-13
moaC,0.72105344,2.82463E-08
moaD,0.493647018,0.002559256
moaE,1.00885613,1.76997E-10
ybhL,-0.815599839,9.50991E-16
ybhM,-0.299868104,0.480533581
ybhN,-2.602425748,5.47867E-41
clsB,-2.311291256,3.099E-78
ybhP,-2.317545595,1.44709E-74
ybhQ,-0.083530786,0.556240847
ybhR,-0.02207875,0.896668262
ybhS,0.052132207,0.734283985
ybhF,0.487750662,2.05913E-05
ybhG,0.859136274,8.41938E-16
cecR,1.117511195,3.71339E-21
rhlE,0.651598364,0.006606255
ybiA,1.617058173,3.46325E-10
dinG,0.689585261,5.0194E-08
ybiB,-0.448540493,7.05075E-06
hcxB,-0.087818331,0.386759332
zbiJ,-0.615274392,0.186779545
ybiJ,-0.75078972,0.003654648
ybiI,-1.371846721,2.37513E-19
ybiX,-0.378407781,0.168431257
fiu,-0.369215826,0.128926968
mcbA,-0.375761076,0.06851442
rlmF,0.304482003,0.122766897
ybiO,-1.23279007,7.3632E-17
glnQ,-0.305862632,0.019737937
glnP,0.03105893,0.810397322
glnH,-0.617365414,4.15204E-11
dps,-1.606372857,3.58251E-08
rhtA,-0.571925095,0.215201617
yliM,-0.530992971,0.061161213
ompX,-0.345116871,0.000405397
opgE,0.161002359,0.626244066
rybA,0.220131335,0.40774332
mntR,0.03139756,0.899153718
ybiR,-0.27110853,0.217105768
ldtB,-0.090378396,0.540574364
ybiT,0.359585611,0.009272895
ybiU,-2.025107842,6.26661E-26
ybiV,-1.175356894,0.000442249
ybiW,1.089126195,1.22469E-13
ybiY,0.60431502,0.05820835
fsaA,0.82960595,5.02946E-08
moeB,0.327791031,0.024879038
moeA,0.504514668,2.22514E-05
iaaA,-0.581376669,8.02405E-08
gsiA,-0.560321596,3.37215E-07
gsiB,-0.541354162,1.94834E-06
gsiC,-0.154916377,0.408443013
gsiD,-0.29580313,0.142617824
pdeI,1.588727161,0.062678774
dgcI,0.313742837,0.743781496
rimO,0.504317666,0.136075956
bssR,0.211223501,0.037946203
yliI,-0.692958087,1.67258E-06
gstB,0.271948043,0.029126266
dacC,-1.012216389,4.43408E-26
deoR,-0.016222826,0.928372195
ybjG,0.094504002,0.710083876
mdfA,-1.005545139,1.46524E-09
ybjH,-0.59666236,0.274994406
ybjI,0.091720617,0.694419375
ybjJ,0.056533006,0.80499633
rcdA,0.864314713,0.000208523
ybjL,-0.004627018,0.976104984
ybjM,-0.535400342,0.199530425
grxA,0.263838765,0.503786455
ybjC,0.417707429,0.017047556
nfsA,0.352864887,0.003771515
rimK,0.057911702,0.689567071
ybjN,0.805120508,2.00486E-06
potF,-3.919523162,1.1231E-135
potG,-3.535593709,3.20999E-56
potH,-2.61886207,3.76548E-16
potI,-2.334664742,1.09158E-22
ybjO,-0.420229872,0.284942456
rlmC,-0.101378831,0.735206759
artJ,-0.851874147,0.006597939
artM,-0.47727297,0.000762782
artQ,-0.457756415,0.00024067
artI,-0.316117655,0.002843986
artP,-0.641202416,8.3918E-08
ybjP,-1.427416248,5.20979E-47
ybjQ,-1.09037868,3.96402E-20
amiD,-1.014177735,1.7663E-23
ybjS,-0.489522317,0.000221248
ybjT,-0.598805601,1.51325E-05
ltaE,-1.181668518,3.17049E-28
poxB,-1.992381768,8.3745E-104
hcr,0.765327406,1.1857E-07
hcp,0.573424819,0.000213387
lysO,0.030042538,0.947180838
aqpZ,-0.516399882,0.09790746
ybjD,0.474293978,8.68222E-05
ybjX,-0.309897714,0.007863806
macA,0.010511497,0.946344924
macB,-0.821236827,3.28597E-10
cspD,-0.432822924,6.63326E-05
yljB,0.103942342,0.803807028
clpS,1.021996935,7.24934E-10
clpA,0.329407838,0.000547191
infA,0.526489855,0.003175393
aat,-0.207457206,0.372218811
cydC,0.89300729,8.93015E-13
