gname,log2FoldChange,pvalue
artP,-0.16047631,0.503214393
ybjP,0.404076373,0.095351775
ybjQ,0.034119426,0.880343401
amiD,0.342111729,0.079951591
ybjS,0.061132905,0.770586576
ybjT,-0.519997085,0.009463782
ltaE,-0.516158182,0.008897363
poxB,-0.359391659,0.05621354
hcr,0.096078401,0.666011174
hcp,0.666162098,0.003346491
lysO,0.028694505,0.936907023
aqpZ,-0.213835323,0.545800314
ybjD,0.715209412,0.000934907
ybjX,0.150828941,0.471879415
macA,0.546856523,0.01705993
macB,-1.343666061,0.030858307
cspD,-0.454166886,0.026070289
yljB,0.707524294,0.083152978
clpS,0.591741988,0.039863922
clpA,0.508844588,0.008798135
serW,-0.960787959,0.348475548
infA,0.078055728,0.727249748
aat,-0.387640964,0.096967919
cydC,0.114479569,0.566816228
cydD,0.186284207,0.3625529
trxB,0.034913552,0.880493774
lrp,0.330154473,0.104748543
ftsK,-0.277961795,0.141384156
lolA,0.216430835,0.302581136
rarA,0.110069022,0.610334487
serS,0.388855501,0.054466744
dmsA,0.964404583,4.1242E-07
dmsB,1.027091036,3.86734E-07
dmsC,0.223939212,0.384761063
ycaC,-0.669281825,0.000456165
ycaD,-0.642494576,0.044752046
ycaM,0.291528051,0.603870099
