Gene_name	Locus_tag	NCBI_gene_ID	Uniprot_ID	Synonyms	Product_function	NDA_component
Rv3192	Rv3192	887899	O53338	RVBD_3192	alanine/proline-rich protein	Basal machinery
Rv3193c	Rv3193c	888012	P9WFL3	RVBD_3193c	transmembrane protein	Basal machinery
Rv3194c	Rv3194c	888062	O53340	RVBD_3194c	secreted protein	Basal machinery
Rv3195	Rv3195	888900	O53341	RVBD_3195	hypothetical protein	Basal machinery
Rv3196	Rv3196	888903	O53342	RVBD_3196	hypothetical protein	Basal machinery
Rv3196A	Rv3196A	3205082	L7N668	RVBD_3196A	hypothetical protein	Basal machinery
Rv3197	Rv3197	887858	O53343	RVBD_3197	ABC transporter ATP-binding protein	Basal machinery
Rv3198A	Rv3198A					Basal machinery
Rv3204	Rv3204	888132	O05862	RVBD_3204	DNA-methyltransferase	Basal machinery
Rv3209	Rv3209	888875	O05857	RVBD_3209	threonine and proline-rich protein	Basal machinery
Rv3212	Rv3212	887931	O05854	RVBD_3212	alanine/valine-rich protein	Basal machinery
Rv3213c	Rv3213c	888896	O05853	RVBD_3213c	SOJ/ParA-like protein	Basal machinery
Rv3216	Rv3216					Basal machinery
Rv3221c	Rv3221c	888096	P9WPQ1	RVBD_3221c,TB7.3	hypothetical protein	Basal machinery
Rv3224	Rv3224	888852	O05842	RVBD_3224	iron-regulated short-chain dehydrogenase/reductase	Basal machinery
Rv3224B	Rv3224B		Q6MWZ4	RVBD_3224B		Basal machinery
Rv3225c	Rv3225c	888804	O05841	RVBD_3225c	GCN5-like N-acetyltransferase	Basal machinery
Rv3228	Rv3228	888785	O05873	RVBD_3228	hypothetical protein	Basal machinery
Rv3230c	Rv3230c	888748	P9WNE9	RVBD_3230c	stearoyl-CoA 9-desaturase electron transfer partner	M28
Rv3231c	Rv3231c	888749	O05876	RVBD_3231c	hypothetical protein	Basal machinery
Rv3233c	Rv3233c	888773	O05878	RVBD_3233c		Basal machinery
Rv3235	Rv3235	888862	O05880	RVBD_3235	alanine/arginine/proline-rich protein	Basal machinery
Rv3236c	Rv3236c	888861	L7N665	RVBD_3236c	integral membrane transport protein	Basal machinery
Rv3237c	Rv3237c	888803	O05882	RVBD_3237c	hypothetical protein	Basal machinery
Rv3238c	Rv3238c	888858	O05883	RVBD_3238c	integral membrane protein	Basal machinery
Rv3239c	Rv3239c	888856	O05884	RVBD_3239c	transmembrane transport protein	Basal machinery
Rv3241c	Rv3241c	888849	O05886	RVBD_3241c	hypothetical protein	Basal machinery
Rv3249c	Rv3249c	888741	O05892	RVBD_3249c	TetR family transcriptional regulator	Global regulator
Rv3253c	Rv3253c	888739	O05896	RVBD_3253c	cationic amino acid transport integral membrane protein	Basal machinery
Rv3254	Rv3254	887237	O05897	RVBD_3254	hypothetical protein	Basal machinery
Rv3258c	Rv3258c	888694	O53351	RVBD_3258c	hypothetical protein	Basal machinery
Rv3259	Rv3259	888697	O53352	RVBD_3259	hypothetical protein	Basal machinery
Rv3263	Rv3263	888691	P96868	RVBD_3263	DNA methylase	Basal machinery
Rv3267	Rv3267	888713	P96872	RVBD_3267	hypothetical protein	Basal machinery
Rv3269	Rv3269	888709	P96874	RVBD_3269	hypothetical protein	M24
Rv3273	Rv3273	888700	P96878	RVBD_3273	transmembrane carbonic anhydrase	Basal machinery
Rv3277	Rv3277	888729	P96882	RVBD_3277	transmembrane protein	M1.7
Rv3282	Rv3282	888718	P9WK27	RVBD_3282	hypothetical protein	Basal machinery
Rv3289c	Rv3289c	888736	P96894	RVBD_3289c	transmembrane protein	Basal machinery
Rv3294c	Rv3294c	3205051	L7N658	RVBD_3294c	hypothetical protein	Basal machinery
Rv3300c	Rv3300c	887958	O07166	RVBD_3300c	hypothetical protein	Basal machinery
Rv3304	Rv3304	887605	O53356	RVBD_3304	hypothetical protein	Basal machinery
Rv3311	Rv3311	887533	O53362	RVBD_3311	hypothetical protein	Basal machinery
Rv3312A	Rv3312A					Basal machinery
Rv3312c	Rv3312c	887939	O53363	RVBD_3312c	hypothetical protein	Basal machinery
Rv3333c	Rv3333c	887632	O53383	RVBD_3333c	proline-rich protein	Basal machinery
Rv3334	Rv3334	887593	O53384	RVBD_3334	MerR family transcriptional regulator	Basal machinery
Rv3335c	Rv3335c	888029	O53385	RVBD_3335c	integral membrane protein	Basal machinery
Rv3337	Rv3337	887556	O53387	RVBD_3337		Basal machinery
Rv3338	Rv3338		O53388	RVBD_3338		Basal machinery
Rv3346c	Rv3346c	888010	O50377	RVBD_3346c	transmembrane protein	Basal machinery
Rv3348	Rv3844	888110	P96234	Rv3844,RVBD_3348RVBD_3844	transposase	Basal machinery
Rv3351c	Rv3351c	888109	O50380	RVBD_3351c	hypothetical protein	Basal machinery
Rv3353c	Rv3353c	888095	O50382	RVBD_3353c	hypothetical protein	Basal machinery
Rv3354	Rv3354	887643	O50383	RVBD_3354	hypothetical protein	Basal machinery
Rv3355c	Rv3355c	887660	O50384	RVBD_3355c	integral membrane protein	Basal machinery
Rv3359	Rv3359	887668	O50388	RVBD_3359	oxidoreductase	Basal machinery
