Node	AbsOutCoh	AbsInCoh	NodeLevel	Network	FracInCoh	FracOutCoh	Diff_InOutCoh	TotCoh
mshA	0.0	3.0	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	3.0
glnR	26.0	4.880045316174398	Middle	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	0.15803232366431536	0.8419676763356847	-0.6839353526713694	30.880045316174396
SCO2386	1.0	0.0	Input	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	0.0	1.0	-1.0	1.0
SCO2387	0.0	1.0	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	1.0
SCO1568	1.0	1.0	Middle	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	0.5	0.5	0.0	2.0
SCO6286	95.58447090683606	0.0	Input	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	0.0	1.0	-1.0	95.58447090683606
SCO1346	0.0	1.0	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	1.0
SCO1347	0.0	1.0	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	1.0
rpsD	0.0	1.0	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	1.0
SCO6272	0.0	1.0	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	1.0
SCO6271	0.0	1.0	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	1.0
SCO6312	0.0	1.880045316174398	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	1.880045316174398
SCO2616	0.0	1.0	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	1.0
SCO2373	0.0	1.880045316174398	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	1.880045316174398
SCO1403	0.0	1.880045316174398	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	1.880045316174398
SCO1402	0.0	1.880045316174398	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	1.880045316174398
SCO3616	0.0	1.0	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	1.0
SCO3615	0.0	1.0	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	1.0
SCO4947	0.0	1.880045316174398	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	1.880045316174398
SCO3229	0.0	1.3678794411714785	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	1.3678794411714785
SCO4921	0.0	1.880045316174398	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	1.880045316174398
SCO3249	0.0	1.0	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	1.0
murC	0.0	1.0	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	1.0
SCO3225	0.0	1.0	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	1.0
SCO3224	0.0	1.0	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	1.0
SCO7623	0.0	1.0	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	1.0
SCO6324	0.0	1.880045316174398	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	1.880045316174398
SCO3868	0.0	1.880045316174398	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	1.880045316174398
SCO6323	0.0	1.880045316174398	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	1.880045316174398
SCO4118	9.0	1.0	Middle	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	0.1	0.9	-0.8	10.0
SCO3867	0.0	1.880045316174398	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	1.880045316174398
SCO6282	0.0	1.0	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	1.0
SCO5544	0.0	1.0	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	1.0
SCO5545	0.0	1.0	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	1.0
rpsL	0.0	1.0	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	1.0
SCO5423	0.0	1.880045316174398	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	1.880045316174398
serS	0.0	1.0	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	1.0
leuA	0.0	1.0	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	1.0
SCO1571	0.0	1.0	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	1.0
SCO6268	0.0	1.880045316174398	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	1.880045316174398
SCO6288	0.0	1.0	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	1.0
arsI	0.0	1.0	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	1.0
SCO6071	0.0	1.0	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	1.0
SCO1698	0.0	1.0	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	1.0
SCO3217	0.0	4.880045316174398	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	4.880045316174398
SCO1697	5.0	1.0	Middle	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	0.16666666666666666	0.8333333333333334	-0.6666666666666667	6.0
SCO2907	0.0	4.213378649507731	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	4.213378649507731
SCO3230	0.0	1.0	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	1.0
argH	0.0	2.0	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	2.0
sigI	0.0	1.0	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	1.0
gap	0.0	1.880045316174398	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	1.880045316174398
valS	0.0	1.0	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	1.0
SCO4503	0.0	1.0	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	1.0
SCO4677	0.0	1.0	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	1.0
afsK	0.0	1.880045316174398	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	1.880045316174398
SCO2879	0.0	1.0	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	1.0
SCO3226	2.0	0.0	Input	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	0.0	1.0	-1.0	2.0
SCO6265	21.847852396429957	0.7357588823429572	Middle	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	0.032579328135820394	0.9674206718641796	-0.9348413437283591	22.583611278772914
SCO6266	1.0	3.1492720909448066	Middle	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	0.7589938721583582	0.24100612784164177	0.5179877443167165	4.149272090944807
SCO3133	2.2072766470288716	0.3678794411714786	Middle	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	0.14285714285714285	0.8571428571428572	-0.7142857142857144	2.5751560882003504
mdh	0.0	0.3678794411714786	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	0.3678794411714786
SCO5999	0.0	0.3678794411714786	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	0.3678794411714786
aceB	0.0	0.3678794411714786	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	0.3678794411714786
SCO7000	0.0	0.3678794411714786	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	0.3678794411714786
tam	0.0	0.3678794411714786	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	0.3678794411714786
SCO2928	0.7357588823429572	0.7357588823429572	Middle	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	0.5	0.5	0.0	1.4715177646859143
hpd	0.0	0.9272048229846772	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	0.9272048229846772
SCO5033	3.0	1.0	Middle	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	0.25	0.75	-0.5	4.0
SCO5032	0.0	1.0	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	1.0
ahpD	0.0	1.0	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	1.0
SCO5552	28.943385687714233	0.0	Input	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	0.0	1.0	-1.0	28.943385687714233
leuC	0.0	1.0	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	1.0
SCO2103	0.0	1.0	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	1.0
rex	0.3678794411714786	0.3678794411714786	Middle	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	0.5	0.5	0.0	0.7357588823429572
SCO5819	0.0	2.1174409900289164	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	2.1174409900289164
SCO6029	0.0	2.441442280824898	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	2.441442280824898
SCO3291	1.0	0.0	Input	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	0.0	1.0	-1.0	1.0
SCO3288	0.0	1.0	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	1.0
SCO1678	2.0	1.0	Middle	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	0.3333333333333333	0.6666666666666667	-0.3333333333333334	3.0
SCO1679	0.0	1.0	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	1.0
hspR	1.4715177646859143	0.3678794411714786	Middle	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	0.2	0.8	-0.6000000000000001	1.8393972058573929
dnaJ1	0.0	0.3678794411714786	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	0.3678794411714786
dnaK	0.0	0.3678794411714786	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	0.3678794411714786
grpE	0.0	0.3678794411714786	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	0.3678794411714786
argR	9.0	0.0	Input	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	0.0	1.0	-1.0	9.0
pyrR	0.0	1.0	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	1.0
SCO4425	0.0	3.0	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	3.0
SCO5896	0.0	1.0	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	1.0
carB	0.0	1.0	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	1.0
argC	0.0	1.0	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	1.0
argG	0.0	1.0	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	1.0
rsrA	30.952093862745524	0.0	Input	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	0.0	1.0	-1.0	30.952093862745524
SCO0204	4.0	0.0	Input	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	0.0	1.0	-1.0	4.0
SCO0200	0.0	1.0	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	1.0
SCO5320	0.0	1.0	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	1.0
SCO5778	4.0	0.0	Input	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	0.0	1.0	-1.0	4.0
SCO5777	0.0	1.0	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	1.0
SCO5776	0.0	1.0	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	1.0
SCO5775	0.0	1.0	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	1.0
SCO5774	0.0	1.0	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	1.0
SCO0194	3.0	1.0	Middle	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	0.25	0.75	-0.5	4.0
SCO0186	0.0	1.0	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	1.0
SCO0191	0.0	1.0	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	1.0
SCO1135	3.0	0.0	Input	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	0.0	1.0	-1.0	3.0
SCO1134	0.0	1.0	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	1.0
SCO1133	0.0	1.0	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	1.0
SCO1132	0.0	1.0	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	1.0
SCO2987	1.0	0.0	Input	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	0.0	1.0	-1.0	1.0
SCO2986	0.0	1.0	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	1.0
SCO6685	2.0	0.0	Input	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	0.0	1.0	-1.0	2.0
SCO4075	0.0	1.0	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	1.0
SCO6681	0.0	1.0	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	1.0
dasR	15.0	0.0	Input	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	0.0	1.0	-1.0	15.0
SCO2758	0.0	1.0	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	1.0
nagB	0.0	1.0	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	1.0
ptsI	0.0	1.0	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	1.0
ptsH	0.0	1.0	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	1.0
SCO1390	0.0	1.0	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	1.0
SCO2905	0.0	1.0	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	1.0
SCO2906	0.0	1.0	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	1.0
SCO3129	1.1036383235144358	0.3678794411714786	Middle	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	0.25	0.75	-0.5	1.4715177646859143
SCO3128	0.0	0.3678794411714786	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	0.3678794411714786
SCO3130	0.0	0.3678794411714786	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	0.3678794411714786
