Module_ID	GO_ID	GO_desc	q-value
M67	GO:0051289	protein homotetramerization	0.0211731493099
M69	GO:0006865	amino acid transport	0.00703255685822
M7	GO:0005975	carbohydrate metabolic process	0.0111612126168
M7	GO:0006207	'de novo' pyrimidine nucleobase biosynthetic process	0.0329989009011
M7	GO:0006730	one-carbon metabolic process	0.0329989009011
M7	GO:0009636	response to toxic substance	0.00375454827422
M7	GO:0019647	formaldehyde assimilation via ribulose monophosphate cycle	0.0000348626047316
M71	GO:0005975	carbohydrate metabolic process	0.0285122320985
M72	GO:0006006	glucose metabolic process	0.0329989009011
M72	GO:0008295	spermidine biosynthetic process	0.0439961544102
M72	GO:0009165	nucleotide biosynthetic process	0.0329989009011
M74	GO:0042838	D-glucarate catabolic process	0.000131272770903
M75	GO:0006355	regulation of transcription, DNA-templated	0.0253141814055
M79	GO:0019556	histidine catabolic process to glutamate and formamide	0.000000000730093670821
M79	GO:0019557	histidine catabolic process to glutamate and formate	0.000000000730093670821
M8	GO:0000160	phosphorelay signal transduction system	0.0440683574373
M8	GO:0006810	transport	0.00213627332031
M80	GO:0000162	tryptophan biosynthetic process	0.0000000391028374286
M81	GO:0006813	potassium ion transport	0.000153602732587
M81	GO:0006824	cobalt ion transport	0.000000157154809978
M81	GO:0006825	copper ion transport	0.0460912093821
M81	GO:0006829	zinc ion transport	0.000629554329175
M82	GO:0006412	translation	0.00512089828382
M82	GO:0042254	ribosome biogenesis	0.0211731493099
M83	GO:0009435	NAD biosynthetic process	0.00000140479628762
M84	GO:0006099	tricarboxylic acid cycle	0.0000119531705317
M84	GO:0009060	aerobic respiration	0.0439961544102
M84	GO:0019646	aerobic electron transport chain	0.0439961544102
M84	GO:0042773	ATP synthesis coupled electron transport	0.0000000145918031589
M84	GO:0044262	cellular carbohydrate metabolic process	0.00232070126661
M85	GO:0019521	D-gluconate metabolic process	0.0000599047574262
M85	GO:0046177	D-gluconate catabolic process	0.0000599047574262
M87	GO:0000160	phosphorelay signal transduction system	0.00703255685822
M87	GO:0016999	antibiotic metabolic process	0.0211731493099
M89	GO:0006635	fatty acid beta-oxidation	0.000000000000125686962926
M89	GO:0055114	oxidation-reduction process	0.0111021739944
M9	GO:0019310	inositol catabolic process	0.000000000000334977729443
M90	GO:0006207	'de novo' pyrimidine nucleobase biosynthetic process	0.0000133140794428
M90	GO:0044205	'de novo' UMP biosynthetic process	7.97516652405e-18
M90	GO:0070409	carbamoyl phosphate biosynthetic process	0.0460912093821
M91	GO:0006537	glutamate biosynthetic process	0.0293702313525
M91	GO:0010133	proline catabolic process to glutamate	0.0000599047574262
M92	GO:0009401	phosphoenolpyruvate-dependent sugar phosphotransferase system	0.000240646478361
M93	GO:0006352	DNA-templated transcription, initiation	0.0439961544102
M94	GO:0044262	cellular carbohydrate metabolic process	0.0293702313525
M96	GO:0006108	malate metabolic process	0.0460912093821
M96	GO:0006814	sodium ion transport	0.00272239175502
M96	GO:0009605	response to external stimulus	0.0293702313525
M96	GO:0055085	transmembrane transport	0.0253141814055
M98	GO:0006464	cellular protein modification process	0.0381147636561
M98	GO:0009102	biotin biosynthetic process	0.0000000000000348935134837
