id,NDA,Color
rluB,Basal machinery,#3fea92
PA0690,Basal machinery,#3fea92
PA0691,M26,#a3ffe8
PA0344,Basal machinery,#3fea92
PA0697,Basal machinery,#3fea92
PA0346,Basal machinery,#3fea92
PA2274,Basal machinery,#3fea92
PA0525,Basal machinery,#3fea92
PA0526,Basal machinery,#3fea92
PA0521,Basal machinery,#3fea92
PA4849,Basal machinery,#3fea92
PA1835,Basal machinery,#3fea92
PA0528,Basal machinery,#3fea92
PA4842,Basal machinery,#3fea92
PA4841,Basal machinery,#3fea92
PA1832,Basal machinery,#3fea92
PA4992,Basal machinery,#3fea92
PA3094,Basal machinery,#3fea92
PA3093,Basal machinery,#3fea92
PA4199,Basal machinery,#3fea92
PA4198,Basal machinery,#3fea92
eraR,M24,#b4e9f7
eraS,M24,#b4e9f7
PA5138,Basal machinery,#3fea92
PA5139,Basal machinery,#3fea92
PA4441,Basal machinery,#3fea92
fptA,Basal machinery,#3fea92
PA1126,Basal machinery,#3fea92
nfuA,M4,#8d67ce
PA5130,Basal machinery,#3fea92
PA5132,Basal machinery,#3fea92
PA4338,Basal machinery,#3fea92
PA5136,Basal machinery,#3fea92
PA5137,Basal machinery,#3fea92
ssuD,Basal machinery,#3fea92
clsB,Basal machinery,#3fea92
PA2874,Basal machinery,#3fea92
PA2877,Basal machinery,#3fea92
PA2870,Basal machinery,#3fea92
PA2871,Basal machinery,#3fea92
PA3871,Basal machinery,#3fea92
metN1,Basal machinery,#3fea92
xenB,M37,#7440ce
metN2,Basal machinery,#3fea92
wbpJ,Basal machinery,#3fea92
wbpI,Basal machinery,#3fea92
wbpH,Basal machinery,#3fea92
cheB1,Basal machinery,#3fea92
wbpM,Basal machinery,#3fea92
cheB2,Basal machinery,#3fea92
wbpA,Basal machinery,#3fea92
wbpG,Basal machinery,#3fea92
wbpE,Basal machinery,#3fea92
oprJ,M25,#ff1c82
oprI,Basal machinery,#3fea92
oprH,M20.6,#8325f7
oprN,Intermodular,#bf5dbb
oprM,Intermodular,#bf5dbb
amn,Basal machinery,#3fea92
oprB,M20.5,#62ef6e
oprG,Basal machinery,#3fea92
oprF,M20.11,#1aa353
oprE,Basal machinery,#3fea92
oprD,Intermodular,#bf5dbb
oprP,Basal machinery,#3fea92
PA2471,Basal machinery,#3fea92
PA5312,Basal machinery,#3fea92
PA5313,Basal machinery,#3fea92
PA5314,Basal machinery,#3fea92
PA2475,Basal machinery,#3fea92
PA2477,Basal machinery,#3fea92
PA5319,Basal machinery,#3fea92
ladS,M20.9,#f9a7c4
PA1244,Basal machinery,#3fea92
PA1243,Basal machinery,#3fea92
PA1240,Basal machinery,#3fea92
PA1241,Basal machinery,#3fea92
PA2040,Basal machinery,#3fea92
PA2045,Basal machinery,#3fea92
PA2047,M20.21,#95b5e2
PA2046,Basal machinery,#3fea92
PA2048,Basal machinery,#3fea92
pvdF,Basal machinery,#3fea92
pvdG,Basal machinery,#3fea92
pvdD,M21,#b52f3a
pvdE,Basal machinery,#3fea92
pvdA,M21,#b52f3a
pvdN,Basal machinery,#3fea92
pvdO,Basal machinery,#3fea92
pvdL,Basal machinery,#3fea92
pvdJ,M21,#b52f3a
pvdH,M21,#b52f3a
nuoA2,Basal machinery,#3fea92
pvdR,Basal machinery,#3fea92
pvdS,Global regulator,#f990ae
pvdP,Basal machinery,#3fea92
pvdQ,Basal machinery,#3fea92
lon,M20.1,#9ba0e8
PA2177,Basal machinery,#3fea92
PA1467,Basal machinery,#3fea92
PA2176,Basal machinery,#3fea92
PA1462,Basal machinery,#3fea92
gbdR,Global regulator,#f990ae
PA0663,Basal machinery,#3fea92
PA0356,Basal machinery,#3fea92
PA0354,Basal machinery,#3fea92
PA0661,Basal machinery,#3fea92
PA0660,Basal machinery,#3fea92
PA0359,Basal machinery,#3fea92
PA0358,Basal machinery,#3fea92
PA0681,Basal machinery,#3fea92
PA0682,Basal machinery,#3fea92
PA0684,Basal machinery,#3fea92
PA3318,Basal machinery,#3fea92
PA3313,Basal machinery,#3fea92
PA3311,Basal machinery,#3fea92
PA2265,M20.3,#c42f9f
PA2264,Basal machinery,#3fea92
PA2266,Basal machinery,#3fea92
PA4838,Basal machinery,#3fea92
PA0537,Basal machinery,#3fea92
PA0536,Basal machinery,#3fea92
PA0535,Basal machinery,#3fea92
PA0534,Basal machinery,#3fea92
PA4832,Basal machinery,#3fea92
PA4833,Basal machinery,#3fea92
PA0539,Basal machinery,#3fea92
PA4836,Basal machinery,#3fea92
PA4837,Basal machinery,#3fea92
PA4834,Basal machinery,#3fea92
PA4835,Basal machinery,#3fea92
moaA2,Basal machinery,#3fea92
moaA1,Basal machinery,#3fea92
aceE,Basal machinery,#3fea92
xcpV,Basal machinery,#3fea92
lysA,Basal machinery,#3fea92
lysC,Basal machinery,#3fea92
lysP,Basal machinery,#3fea92
lysS,Basal machinery,#3fea92
PA3132,Basal machinery,#3fea92
PA3133,Basal machinery,#3fea92
PA5121,Basal machinery,#3fea92
pth,Basal machinery,#3fea92
alc,Basal machinery,#3fea92
rpmA,Basal machinery,#3fea92
PA4308,Basal machinery,#3fea92
xcpX,Basal machinery,#3fea92
alr,Basal machinery,#3fea92
PA0444,Basal machinery,#3fea92
PA0442,Basal machinery,#3fea92
rpmF,Basal machinery,#3fea92
PA4454,Basal machinery,#3fea92
PA2860,Basal machinery,#3fea92
PA2867,Basal machinery,#3fea92
PA2864,Basal machinery,#3fea92
PA2869,Basal machinery,#3fea92
PA2868,Basal machinery,#3fea92
atpI,Basal machinery,#3fea92
atpH,Basal machinery,#3fea92
atpC,Basal machinery,#3fea92
atpB,Basal machinery,#3fea92
atpA,Basal machinery,#3fea92
atpG,Basal machinery,#3fea92
atpF,Basal machinery,#3fea92
atpE,Basal machinery,#3fea92
atpD,Basal machinery,#3fea92
ureB,Basal machinery,#3fea92
ureC,Basal machinery,#3fea92
hemH,Basal machinery,#3fea92
ureA,Basal machinery,#3fea92
ureF,Basal machinery,#3fea92
ureG,Basal machinery,#3fea92
ureD,Basal machinery,#3fea92
ureE,Basal machinery,#3fea92
hemB,Basal machinery,#3fea92
hemA,Basal machinery,#3fea92
hemF,Basal machinery,#3fea92
hemE,Basal machinery,#3fea92
PA3783,Basal machinery,#3fea92
ampDh2,Basal machinery,#3fea92
ampDh3,Basal machinery,#3fea92
PA5307,Basal machinery,#3fea92
PA2463,Basal machinery,#3fea92
PA2462,Basal machinery,#3fea92
PA5301,Basal machinery,#3fea92
trmB,Basal machinery,#3fea92
trmD,Basal machinery,#3fea92
ratA,M20.9,#f9a7c4
trmL,Basal machinery,#3fea92
bexR,M11,#37ba93
phzA1,M20.25,#4ef248
PA1259,Basal machinery,#3fea92
PA1258,M10,#e7ffaf
PA1255,Basal machinery,#3fea92
PA1254,M21,#b52f3a
PA1257,M10,#e7ffaf
PA1256,M10,#e7ffaf
PA1251,Basal machinery,#3fea92
PA1253,M21,#b52f3a
pcrV,Basal machinery,#3fea92
pscR,Basal machinery,#3fea92
pscU,Basal machinery,#3fea92
pscJ,M20.7,#b6caf9
PA1786,Basal machinery,#3fea92
PA1785,Basal machinery,#3fea92
PA1784,Basal machinery,#3fea92
PA4453,Basal machinery,#3fea92
PA2079,M28,#94e577
pscL,M20.7,#b6caf9
pscB,M20.7,#b6caf9
PA2075,Basal machinery,#3fea92
PA2076,Basal machinery,#3fea92
PA2077,Basal machinery,#3fea92
PA2070,Basal machinery,#3fea92
pscG,M20.7,#b6caf9
PA2072,Basal machinery,#3fea92
pscE,M20.7,#b6caf9
pntB,Basal machinery,#3fea92
fabD,Basal machinery,#3fea92
PA1474,Basal machinery,#3fea92
PA2788,Basal machinery,#3fea92
PA1473,Basal machinery,#3fea92
PA2780,M20.31,#037058
PA0322,Basal machinery,#3fea92
PA0320,Basal machinery,#3fea92
PA0321,Basal machinery,#3fea92
PA0324,Basal machinery,#3fea92
recF,Basal machinery,#3fea92
PA0328,Basal machinery,#3fea92
PA0329,Basal machinery,#3fea92
PA2417,Basal machinery,#3fea92
PA1888,Basal machinery,#3fea92
PA2414,Basal machinery,#3fea92
foxR,M20.1,#9ba0e8
PA3309,Basal machinery,#3fea92
PA2251,M38,#8fefd2
PA2252,M38,#8fefd2
PA3305,Basal machinery,#3fea92
PA3307,Basal machinery,#3fea92
PA3306,Basal machinery,#3fea92
PA3301,Basal machinery,#3fea92
PA3302,Basal machinery,#3fea92
phzH,Basal machinery,#3fea92
mgtE,M20.34,#8dd9f4
phzM,Basal machinery,#3fea92
PA4828,Basal machinery,#3fea92
tsaC,Basal machinery,#3fea92
tsaD,Basal machinery,#3fea92
PA4821,Basal machinery,#3fea92
PA4823,Basal machinery,#3fea92
PA4822,Basal machinery,#3fea92
PA4824,Basal machinery,#3fea92
PA4826,Basal machinery,#3fea92
ffh,Basal machinery,#3fea92
pcnB,Basal machinery,#3fea92
PA4290,Basal machinery,#3fea92
PA3023,Basal machinery,#3fea92
PA1819,Basal machinery,#3fea92
PA5152,Basal machinery,#3fea92
PA5153,Basal machinery,#3fea92
PA5150,Basal machinery,#3fea92
PA5157,Basal machinery,#3fea92
PA5154,Basal machinery,#3fea92
PA5155,Basal machinery,#3fea92
PA5158,Basal machinery,#3fea92
PA5159,Intermodular,#bf5dbb
alg44,Intermodular,#bf5dbb
PA4319,Basal machinery,#3fea92
PA4318,Basal machinery,#3fea92
PA4317,Basal machinery,#3fea92
PA2100,M20.14,#ea93d0
PA4313,Basal machinery,#3fea92
PA4312,Basal machinery,#3fea92
PA4311,Basal machinery,#3fea92
pncB1,Basal machinery,#3fea92
lolB,Basal machinery,#3fea92
lolD,Basal machinery,#3fea92
PA2896,M11,#37ba93
PA3451,Basal machinery,#3fea92
PA2894,Basal machinery,#3fea92
PA2895,M11,#37ba93
atuB,M21,#b52f3a
PA2527,Basal machinery,#3fea92
PA2525,Basal machinery,#3fea92
asd,Basal machinery,#3fea92
guaB,Basal machinery,#3fea92
recO,Basal machinery,#3fea92
PA2412,Basal machinery,#3fea92
PA2410,Basal machinery,#3fea92
PA2411,Basal machinery,#3fea92
PA5376,Basal machinery,#3fea92
recG,Basal machinery,#3fea92
recD,Basal machinery,#3fea92
PA2415,Basal machinery,#3fea92
anr,Global regulator,#f990ae
eddB,Basal machinery,#3fea92
PA2528,Basal machinery,#3fea92
PA1268,M10,#e7ffaf
PA1269,Basal machinery,#3fea92
opmQ,Basal machinery,#3fea92
hisF2,Basal machinery,#3fea92
PA1260,M10,#e7ffaf
PA1261,M10,#e7ffaf
PA1262,Basal machinery,#3fea92
PA1266,M10,#e7ffaf
PA1267,M10,#e7ffaf
kinB,Basal machinery,#3fea92
greA,Basal machinery,#3fea92
greB,Basal machinery,#3fea92
dadA1,M15,#d9f44e
dadA2,M39,#f9db43
rapA,Basal machinery,#3fea92
galU,Basal machinery,#3fea92
efp,Basal machinery,#3fea92
PA2799,Basal machinery,#3fea92
PA2798,Basal machinery,#3fea92
ndvB,Basal machinery,#3fea92
lip,M20.1,#9ba0e8
PA2790,Basal machinery,#3fea92
PA2793,Basal machinery,#3fea92
PA2794,Basal machinery,#3fea92
PA2797,Basal machinery,#3fea92
PA0333,Basal machinery,#3fea92
PA1922,Basal machinery,#3fea92
PA0335,Basal machinery,#3fea92
PA0334,Basal machinery,#3fea92
PA0338,Basal machinery,#3fea92
rho,Basal machinery,#3fea92
PA3330,Basal machinery,#3fea92
PA3331,Basal machinery,#3fea92
PA3332,Basal machinery,#3fea92
PA3334,Basal machinery,#3fea92
PA3336,Basal machinery,#3fea92
macB,Basal machinery,#3fea92
queC,Basal machinery,#3fea92
queE,Basal machinery,#3fea92
pntAB,Basal machinery,#3fea92
PA0633,M21,#b52f3a
clpX,Basal machinery,#3fea92
clpS,Basal machinery,#3fea92
sspB,Basal machinery,#3fea92
sspA,Basal machinery,#3fea92
clpA,Basal machinery,#3fea92
clpB,Basal machinery,#3fea92
plsX,Basal machinery,#3fea92
PA4148,M17,#92e88d
PA4149,M17,#92e88d
PA4144,M21,#b52f3a
PA4142,Basal machinery,#3fea92
PA4143,Basal machinery,#3fea92
PA4141,Basal machinery,#3fea92
PA3110,Basal machinery,#3fea92
PA1860,Basal machinery,#3fea92
PA1864,Basal machinery,#3fea92
PA3489,Basal machinery,#3fea92
PA5146,Basal machinery,#3fea92
PA5148,Basal machinery,#3fea92
PA4498,Basal machinery,#3fea92
PA4368,Basal machinery,#3fea92
PA4369,Basal machinery,#3fea92
PA4362,Basal machinery,#3fea92
PA4861,Basal machinery,#3fea92
dtd,Basal machinery,#3fea92
PA4496,Basal machinery,#3fea92
PA4497,Basal machinery,#3fea92
PA2884,Basal machinery,#3fea92
PA2881,Basal machinery,#3fea92
PA2880,Basal machinery,#3fea92
PA2883,Basal machinery,#3fea92
PA2882,Basal machinery,#3fea92
pcaH,Basal machinery,#3fea92
pcaG,Basal machinery,#3fea92
pcaC,Basal machinery,#3fea92
narK2,Basal machinery,#3fea92
narK1,Basal machinery,#3fea92
tgt,Basal machinery,#3fea92
napF,Basal machinery,#3fea92
napE,Basal machinery,#3fea92
napD,Basal machinery,#3fea92
napC,Basal machinery,#3fea92
napB,Basal machinery,#3fea92
napA,Basal machinery,#3fea92
PA3939,Basal machinery,#3fea92
PA3936,Basal machinery,#3fea92
PA3934,Basal machinery,#3fea92
PA3933,Basal machinery,#3fea92
PA3931,Basal machinery,#3fea92
PA2409,Basal machinery,#3fea92
PA2408,Basal machinery,#3fea92
PA2403,M21,#b52f3a
PA2402,M21,#b52f3a
PA2405,M21,#b52f3a
PA2404,M21,#b52f3a
PA2407,Basal machinery,#3fea92
PA2406,M21,#b52f3a
PA0604,M40,#47ba09
pauA,Basal machinery,#3fea92
PA3688,Basal machinery,#3fea92
PA1270,Basal machinery,#3fea92
pys2,Basal machinery,#3fea92
dgcB,Basal machinery,#3fea92
glgA,Basal machinery,#3fea92
glgB,Basal machinery,#3fea92
dgcA,Basal machinery,#3fea92
glgE,Basal machinery,#3fea92
glgP,Basal machinery,#3fea92
PA1967,Basal machinery,#3fea92
PA3759,Basal machinery,#3fea92
dsbA,Basal machinery,#3fea92
dsbE,Basal machinery,#3fea92
dsbG,Basal machinery,#3fea92
PA2204,Basal machinery,#3fea92
vreR,M20.1,#9ba0e8
slyX,Basal machinery,#3fea92
flgC,Basal machinery,#3fea92
flgB,Basal machinery,#3fea92
flgA,Basal machinery,#3fea92
PA1238,Basal machinery,#3fea92
flgG,Basal machinery,#3fea92
flgF,Basal machinery,#3fea92
PA0900,Basal machinery,#3fea92
PA1458,Basal machinery,#3fea92
flgK,Basal machinery,#3fea92
flgJ,Basal machinery,#3fea92
vreA,Basal machinery,#3fea92
flgH,Basal machinery,#3fea92
PA0908,Basal machinery,#3fea92
PA0909,Basal machinery,#3fea92
PA0308,Basal machinery,#3fea92
PA0309,Basal machinery,#3fea92
PA0658,Basal machinery,#3fea92
PA0657,Basal machinery,#3fea92
PA3327,Basal machinery,#3fea92
PA3325,Basal machinery,#3fea92
PA3329,Basal machinery,#3fea92
PA3328,Basal machinery,#3fea92
PA1440,Basal machinery,#3fea92
PA1441,Basal machinery,#3fea92
mreB,Basal machinery,#3fea92
mreC,Basal machinery,#3fea92
mreD,Basal machinery,#3fea92
mexZ,M20.8,#1e3d99
mexX,Intermodular,#bf5dbb
mexY,Intermodular,#bf5dbb
mexT,Global regulator,#f990ae
mexR,M20.4,#e86aca
ychF,Basal machinery,#3fea92
mexH,Basal machinery,#3fea92
mexI,Basal machinery,#3fea92
mexF,Intermodular,#bf5dbb
mexG,Basal machinery,#3fea92
mexD,M25,#ff1c82
mexE,Intermodular,#bf5dbb
mexB,Intermodular,#bf5dbb
mexC,M25,#ff1c82
mexA,Intermodular,#bf5dbb
nuoB,Basal machinery,#3fea92
nuoC,Basal machinery,#3fea92
nuoF,Basal machinery,#3fea92
nuoG,Basal machinery,#3fea92
nuoE,Basal machinery,#3fea92
nuoJ,Basal machinery,#3fea92
nuoK,Basal machinery,#3fea92
nuoH,Basal machinery,#3fea92
PA4726.11,M20.1,#9ba0e8
nuoN,Basal machinery,#3fea92
nuoL,Basal machinery,#3fea92
nuoM,Basal machinery,#3fea92
PA0476,Basal machinery,#3fea92
PA0332,Basal machinery,#3fea92
PA0472,Intermodular,#bf5dbb
proB,Basal machinery,#3fea92
PA4153,M17,#92e88d
PA4152,M17,#92e88d
lipA,Basal machinery,#3fea92
PA2036,Basal machinery,#3fea92
PA1870,Basal machinery,#3fea92
PA1873,Basal machinery,#3fea92
PA1872,Basal machinery,#3fea92
PA1875,M20.6,#8325f7
PA4806,Basal machinery,#3fea92
PA1877,M20.6,#8325f7
PA1876,M20.6,#8325f7
PA3106,Basal machinery,#3fea92
PA5174,Basal machinery,#3fea92
PA4488,Basal machinery,#3fea92
PA4375,Basal machinery,#3fea92
PA4374,Basal machinery,#3fea92
idh,Basal machinery,#3fea92
lldP,Basal machinery,#3fea92
lldA,Basal machinery,#3fea92
lldD,Basal machinery,#3fea92
pabB,Basal machinery,#3fea92
PA4772,Basal machinery,#3fea92
PA4778,M14,#dfe589
tadG,Basal machinery,#3fea92
