Gene_name	Locus_tag	NCBI_gene_ID	Uniprot_ID	Synonyms	Product_function	NDA_component
CGSSp9BS68_08132	CGSSp9BS68_08132				sortase, putative	M6.1
CGSSp9BS68_08137	CGSSp9BS68_08137				sortase, putative	M6.1
CGSSp9BS68_08147	CGSSp9BS68_08147				cell wall surface anchor family protein	M6.1
CGSSp9BS68_08152	CGSSp9BS68_08152				cell wall surface anchor family protein	M6.1
CGSSp9BS68_08157	CGSSp9BS68_08157				cell wall surface anchor family protein	M6.1
CGSSp9BS68_08162	CGSSp9BS68_08162				transcriptional regulator, putative	M6.1
CGSSp9BS68_08227	CGSSp9BS68_08227				pyruvate oxidase	M1
CGSSp9BS68_08312	CGSSp9BS68_08312				ATP-dependent Clp protease, proteolytic subunit ClpP	M2
CGSSp9BS68_08332	CGSSp9BS68_08332				branched-chain amino acid ABC transporter, amino acid-binding protein	Basal machinery
CGSSp9BS68_08357	CGSSp9BS68_08357				hypothetical protein	Basal machinery
CGSSp9BS68_08412	CGSSp9BS68_08412				dihydroorotate dehydrogenase 1A	Basal machinery
CGSSp9BS68_08612	CGSSp9BS68_08612				DNA-binding response regulator CiaR	Global regulator
CGSSp9BS68_08617	CGSSp9BS68_08617				sensor histidine kinase CiaH	Basal machinery
CGSSp9BS68_08712	CGSSp9BS68_08712				ATP-dependent Clp protease ATP-binding subunit ClpE	M2
CGSSp9BS68_08767	CGSSp9BS68_08767				purine nucleoside phosphorylase, family protein 2	Basal machinery
CGSSp9BS68_08927	CGSSp9BS68_08927				PTS system, mannose-specific IIAB component	Basal machinery
CGSSp9BS68_08932	CGSSp9BS68_08932				PTS system, mannose-specific IIC component	Basal machinery
CGSSp9BS68_08937	CGSSp9BS68_08937				PTS system, mannose/fructose/sorbose family protein, IID component	Basal machinery
CGSSp9BS68_09087	CGSSp9BS68_09087				pyridine nucleotide-disulfide oxidoreductase	Basal machinery
CGSSp9BS68_09107	CGSSp9BS68_09107				transcriptional repressor CodY	Global regulator
CGSSp9BS68_09112	CGSSp9BS68_09112				isochorismatase family protein	Basal machinery
CGSSp9BS68_09117	CGSSp9BS68_09117				sugar ABC transporter, ATP-binding protein	Basal machinery
CGSSp9BS68_09132	CGSSp9BS68_09132				transcriptional repressor CodY	Basal machinery
CGSSp9BS68_09546	CGSSp9BS68_09546				immunity protein, putative	Basal machinery
CGSSp9BS68_09611	CGSSp9BS68_09611				purine operon repressor	Basal machinery
CGSSp9BS68_09631	CGSSp9BS68_09631				hypothetical protein	Basal machinery
CGSSp9BS68_09761	CGSSp9BS68_09761				competence damage-inducible protein A	Basal machinery
CGSSp9BS68_09766	CGSSp9BS68_09766				recA protein	Basal machinery
CGSSp9BS68_09771	CGSSp9BS68_09771				MATE efflux family protein DinF	Basal machinery
CGSSp9BS68_09781	CGSSp9BS68_09781				autolysin/N-acetylmuramoyl-L-alanine amidase	Basal machinery
CGSSp9BS68_09891	CGSSp9BS68_09891				single-strand DNA-binding protein	Basal machinery
CGSSp9BS68_09901	CGSSp9BS68_09901				chaperonin GroEL	M2
CGSSp9BS68_09985	CGSSp9BS68_09985				peptidase, U32 family protein	Basal machinery
CGSSp9BS68_10085	CGSSp9BS68_10085				oxygen-independent coproporphyrinogen III oxidase, putative	Basal machinery
CGSSp9BS68_10370	CGSSp9BS68_10370				ribosomal protein L10	Basal machinery
CGSSp9BS68_10620	CGSSp9BS68_10620				competence protein ComF, putative	Basal machinery
CGSSp9BS68_10650	CGSSp9BS68_10650				choline binding protein D	Basal machinery
CGSSp9BS68_10680	CGSSp9BS68_10680				transcriptional regulator CtsR	M2
CGSSp9BS68_10700	CGSSp9BS68_10700				DNA-binding response regulator	Global regulator
CGSSp9BS68_10710	CGSSp9BS68_10710				isoprenylcysteine carboxyl methyltransferase (ICMT) family protein	Basal machinery
CGSSp9BS68_10800	CGSSp9BS68_10800				D-alanine--poly(phosphoribitol) ligase subunit 1	Basal machinery
CGSSp9BS68_10805	CGSSp9BS68_10805				D-alanine--D-alanyl carrier protein ligase	Basal machinery
CGSSp9BS68_10810	CGSSp9BS68_10810				D-alanine--poly(phosphoribitol) ligase subunit 2	Basal machinery
CGSSp9BS68_10830	CGSSp9BS68_10830				adc operon repressor AdcR	M5
CGSSp9BS68_10835	CGSSp9BS68_10835				zinc ABC transporter, ATP-binding protein	M5
CGSSp9BS68_10840	CGSSp9BS68_10840				zinc ABC transporter, permease protein	M5
CGSSp9BS68_10845	CGSSp9BS68_10845				zinc ABC transporter, zinc-binding lipoprotein	M5
CGSSp9BS68_10940	CGSSp9BS68_10940				hypothetical protein	Basal machinery
CGSSp9BS68_10975	CGSSp9BS68_10975				hypothetical protein	Basal machinery
CGSSp9BS68_10980	CGSSp9BS68_10980				hypothetical protein	Basal machinery
CGSSp9BS68_10985	CGSSp9BS68_10985				ROK family protein	Basal machinery
CGSSp9BS68_10990	CGSSp9BS68_10990				glycosyl hydrolase-related protein	Basal machinery
CGSSp9BS68_11085	CGSSp9BS68_11085				hypothetical protein	Basal machinery
CGSSp9BS68_11165	CGSSp9BS68_11165				maltose operon transcriptional repressor	M4
CGSSp9BS68_11185	CGSSp9BS68_11185				maltose/maltodextrin ABC transporter, maltose/maltodextrin-binding protein	Basal machinery
CGSSp9BS68_11190	CGSSp9BS68_11190				4-alpha-glucanotransferase	M4
CGSSp9BS68_11195	CGSSp9BS68_11195				maltodextrin phosphorylase	M4
CGSSp9BS68_11330	CGSSp9BS68_11330				response regulator	M6.2
CGSSp9BS68_11495	CGSSp9BS68_11495				competence protein CglA	Basal machinery
CGSSp9BS68_11500	CGSSp9BS68_11500				Competence protein	Basal machinery
CGSSp9BS68_11505	CGSSp9BS68_11505				competence protein CglC	Basal machinery
CGSSp9BS68_11715	CGSSp9BS68_11715				glyceraldehyde-3-phosphate dehydrogenase, type I	Basal machinery
CGSSp9BS68_11782	CGSSp9BS68_11782				transcriptional regulator ComX2	Global regulator
CGSSp9BS68_11967	CGSSp9BS68_11967				SpoJ protein	Basal machinery
CGSSp9BS68_11982	CGSSp9BS68_11982				competence-stimulating peptide type 1	M2
CGSSp9BS68_11987	CGSSp9BS68_11987				putative sensor histidine kinase ComD	Basal machinery
CGSSp9BS68_11992	CGSSp9BS68_11992				response regulator	Global regulator
CGSSp9BS68_12057	CGSSp9BS68_12057				CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase	Basal machinery
acpP	acpP		A5LXB9		acyl carrier protein	Basal machinery
dnaA	dnaA		A5LUT1		chromosomal replication initiation protein	M6.2
dnaK	dnaK		A5LX33		molecular chaperone DnaK	M2
eno	eno		A5LWN7		phosphopyruvate hydratase	Basal machinery
fabG	fabG		A5LVI3		3-ketoacyl-(acyl-carrier-protein) reductase	Basal machinery
fabZ	fabZ		A5LVI7		(3R)-hydroxymyristoyl ACP dehydratase	Basal machinery
hrcA	hrcA		A5LX34		heat-inducible transcription repressor	M2
ligA	ligA		A5LWM6		NAD-dependent DNA ligase LigA	Basal machinery
ppnK	ppnK		A5LVX1		inorganic polyphosphate/ATP-NAD kinase	Basal machinery
prsA	prsA		A5LT53		foldase protein PrsA	Basal machinery
recU	recU		A5LWH9		Holliday junction-specific endonuclease	Basal machinery
rplE	rplE		A5LSZ2		50S ribosomal protein L5	Basal machinery
rplX	rplX		A5LSZ1		50S ribosomal protein L24	Basal machinery
rpsH	rpsH		A5LSZ5		30S ribosomal protein S8	Basal machinery
trmB	trmB		A5LRW3		tRNA (guanine-N(7))-methyltransferase	Basal machinery
