PreSplitGroup,Group,Node
1,91,ethR
2,92,ethA
2,93,Rv0653c
3,94,Rv2506
1,95,Rv2912c
2,96,Rv2913c
1,97,Rv2989
2,98,lpdA
1,99,Rv1036c
1,100,nadD
1,101,crgA
1,102,Rv3127
1,103,Rv2709
1,104,ldtA
2,105,Rv3066
17,106,Rv2282c
1,107,mce4A
1,108,drrA
1,109,PPE7
1,110,Rv2474c
1,111,Rv1339
1,112,mftR
1,113,Rv1534
3,114,nuoF
3,115,nuoG
3,116,lipP
1,117,fadE5
1,118,Rv0412c
1,119,espI
3,120,Rv1230c
1,121,lipL
1,122,mce1F
1,123,Rv2990c
1,124,Rv2723
1,125,Rv2722
1,126,rpoC
1,127,fadD30
1,128,Rv2000
1,129,lprK
1,130,vapB6
1,131,fadD22
1,132,yrbE4B
1,133,Rv1503c
1,134,Rv1638A
1,135,Rv0961
1,136,Rv0424c
1,137,pca
1,138,PPE35
1,139,fadE19
1,140,secE2
1,141,glgB
1,142,Rv3216
6,143,Rv2779c
1,144,gyrA
1,145,eccA1
3,146,Rv2887
1,147,moxR3
1,148,purU
1,149,PE_PGRS35
1,150,Rv1565c
2,151,Rv0494
18,152,Rv2514c
1,153,Rv1632c
1,154,Rv3094c
1,155,Rv3786c
3,156,espR
2,157,Rv0397
1,158,Rv1364c
1,159,PE_PGRS62
10,160,celA2a
1,161,Rv1762c
1,162,acpA
1,163,rfbE
1,164,ripB
1,165,Rv2560
1,166,Rv2307D
1,167,mce1D
1,168,pnp
1,169,Rv1490
1,170,esxS
1,171,fadE10
1,172,Rv1824
1,173,Rv2237
10,174,Rv2143
1,175,recR
4,176,PPE52
2,177,Rv0320
2,178,Rv1404
3,179,PE_PGRS26
1,180,PE_PGRS9
19,181,Rv1730c
1,182,gabD2
1,183,Rv1375
1,184,Rv2956
1,185,Rv1186c
2,186,rocA
1,187,Rv3386
6,188,PE19
6,189,Rv0501
1,190,vapB46
6,191,glbN
6,192,vapC46
1,193,Rv1322A
6,194,desA3
1,195,ctaB
1,196,hemL
3,197,Rv0441c
4,198,mftB
3,199,metG
3,200,arcA
1,201,lppZ
1,202,Rv2574
3,203,Rv2011c
1,204,Rv3437
1,205,Rv3099c
1,206,glmS
1,207,Rv0774c
1,208,rpfC
1,209,pgsA3
1,210,mprA
1,211,lppE
1,212,Rv0472c
1,213,Rv3035
1,214,argA
1,215,Rv2012
1,216,Rv0473
20,217,PE34
1,218,nat
2,219,Rv3075c
1,220,Rv1194c
1,221,Rv0158
21,222,Rv1556
1,223,Rv3050c
2,224,Rv0885
1,225,Rv3736
2,226,Rv3856c
2,227,Rv1869c
22,228,Rv1395
2,229,fdxC
2,230,desA2
2,231,desA1
23,232,vapB30
2,233,Rv3095
24,234,Rv3405c
2,235,Rv0275c
1,236,Rv0276
2,237,zur
1,238,ppe3
1,239,Rv2059
2,240,panB
2,241,Rv0138
2,242,dacB1
2,243,leuA
2,244,Rv0196
2,245,Rv0877
2,246,vapC11
2,247,Rv0205
2,248,Rv2749
2,249,recA
2,250,Rv1747
2,251,Rv0367c
2,252,msrA
2,253,Rv3267
2,254,dnaQ
2,255,aac
2,256,PE36
2,257,Rv2250A
4,258,Rv0537c
2,259,pepQ
2,260,mmpL13a
1,261,Rv1719
2,262,Rv3067
2,263,Rv3725
2,264,def
2,265,Rv0191
2,266,purT
2,267,Rv0485
2,268,PPE9
2,269,Rv0183
2,270,mmpS5
2,271,mmpS2
1,272,higA3
2,273,higB3
1,274,higA1
2,275,Rv2219A
2,276,Rv1219c
1,277,Rv1249c
1,278,ffh
25,279,Rv3714c
1,280,Rv1250
1,281,clpB
3,282,uvrD1
3,283,Rv3529c
3,284,Rv2622
3,285,Rv0538
3,286,pheA
3,287,Rv2621c
3,288,Rv0356c
3,289,Rv0481c
3,290,rnpA
3,291,rpmH
3,292,parB
3,293,mmpL11
1,294,Rv0067c
2,295,Rv0068
1,296,kstR2
2,297,echA20
2,298,fadD3
26,299,Rv0793
2,300,fadE30
2,301,Rv3549c
1,302,Rv0674
2,303,fadE8
3,304,Rv0767c
1,305,rbpA
1,306,Rv1086
1,307,Rv0042c
1,308,lipW
1,309,pks12
1,310,grcC2
1,311,Rv2049c
1,312,Rv1097c
1,313,Rv0776c
1,314,Rv1085c
1,315,prrA
27,316,kmtR
2,317,sirR
1,318,Rv0880
2,319,Rv0726c
2,320,Rv2172c
28,321,groEL1
2,322,dnaJ1
2,323,Rv1075c
2,324,Rv3613c
