,YieP,GlpR,YgbI,efeU-repair,ydcI-KO,BW25113,proVWX,DhaR/Mlc,ArgR,YneJ,NarL,e14-deletion,MalT,OxyR,Crp-2,AtoC,PurR-1,yheO-KO,CsqR,MetJ,entC-menF-KO,uncharacterized-6,PurR-2,Cbl+CysB,GlcC,Crp-1,YiaJ,GcvA,XylR,fur-KO,RpoH,GadEWX,translation,PrpR,GadWX,fimbriae,CecR,uncharacterized-4,ArcA-1,nitrate-related,Fnr,CdaR,Pyruvate,SrlR+GutM,NagC/TyrR,CpxR,thrA-KO,Lrp,deletion-1,Leu/Ile,deletion-2,Fur-1,uncharacterized-5,Thiamine,CysB,FliA,PuuR,NikR,NtrC+RpoN,RcsAB,His-tRNA,Fur-2,Copper,AllR/AraC/FucR,Cra,ArcA-2,EvgA,uncharacterized-2,Zinc,SoxS,Nac,Tryptophan,curli,gadWX-KO,flu-yeeRS,uncharacterized-1,FadR/IclR,lipopolysaccharide,FlhDC,crp-KO,GntR/TyrR,purR-KO,RpoS,membrane,duplication-1,uncharacterized-3,ExuR/FucR,FecI,iron-related,RbsR,sgrT,insertion
b2315,0.0072193842,0.0032532251,0.0019726046,0.0090950551,-0.0041868542,-0.0081502158,0.0011103361,-0.0113613306,-0.0065244316,0.0014249049,-0.0020356308,-0.0060189785,0.0074846611,-0.0020015459,0.002802447,-0.0014348252,0.0084548904,0.0053386341,-0.0087112875,0.000527243,-0.0136833542,-0.0008663907,0.008922775,0.0004435268,0.007232162,0.0036143543,-0.0006149427,-0.0088168851,-0.0046411707,0.001956562,-0.001596061,0.0005080638,0.0026110968,-0.0044086986,-0.0085081897,-0.0040730299,-0.0037429885,-0.0241628235,-0.0023644238,-0.0027911162,-0.0024301267,0.0004467479,-0.0029747386,-0.004013304,0.0005101859,-0.0020683766,-0.0035560672,-0.0046703368,-0.0077966737,-0.0179470912,-0.0016833448,-0.0055192651,0.0133925392,-0.0045980212,-0.0038386078,-0.0072589184,0.0151882669,0.0112283602,-0.0054608906,0.0022024211,0.013968691,0.0058155791,-0.0059160212,-0.0022707872,0.0046936552,0.0005810872,-0.0006866968,0.0126505736,-0.0017563467,-0.0083763593,-0.0071081491,-0.003729903,0.0022552523,0.002078592,0.0106385831,-0.0136663239,-0.003358516,-0.0020689028,-0.0023592267,0.0033023716,0.0051295863,0.0030363376,-0.0046394922,-0.0133431554,-0.0038088988,-0.0004107352,-8.951940000000001e-05,0.0008343751,-0.0038944987,0.0125810527,0.0036287182,-0.0022629063
b2316,0.0023000281,-0.0009122571,-0.0067766077,0.0067365409,-0.0035402955,-0.0042240868,-0.0043824318,-0.0029532407,-0.0061543138,0.0010530921,-0.005068362,-0.0053990258,0.00756939,-0.0141379736,-0.0062789953,-0.0014115631,-0.0018231442,0.0004120842,-0.0034162793,0.0043490563,-0.0006357706,-0.0033003834,0.0027873227,0.0101519715,0.0023600132,0.0042340993,-0.0036118168,-0.0095128784,-0.0031730443,-0.0005218156,0.0023507072,0.0005327984,-0.0002624786,-0.0039934659,-0.0069413636,-0.0088498051,0.0060685377,0.0035716219,-0.0015089135,-0.0011512992,-0.0006697289,0.0017078071,-0.0050430543,-0.009027301,-0.0052739696,-0.0053666127,-0.007632889,0.0018427979,-0.0070477157,-0.0096803656,-0.003106424,-0.0033010091,0.015475729,-0.0027165548,-0.0029390249,-0.0032930397,0.0028795882,0.0053124737,-0.0001523399,-0.0072824482,0.001842328,0.0026119495,-0.0030945535,-0.0049694262,-0.0031924912,-0.0006363335,0.0002521297,-0.0060499852,-0.0006967836,-0.003586421,0.0001317392,4.0578e-06,-0.0065437276,-0.0014517057,0.0033140503,-0.000808712,-0.0054286591,0.0042547863,-0.0011318095,-0.0002378436,-0.0040980765,0.004496868,-0.0082635856,-0.0058042424,0.0002463051,-0.0064964675,-0.0036908191,-0.0031037434,-0.0022022237,-0.0065133811,0.0004349817,0.0025165284
b2317,0.0021696515,0.0023889793,-0.0102983637,-0.0190651952,0.0068333456,0.0005477875,0.0032016778,-0.0007658937,-0.007097021,-0.0013907905,-0.0091237489,-0.0045096764,-0.0097908163,-0.0032776929,0.0014320038,-0.0122108425,0.0014278417,0.0141754442,-0.0053435545,-0.0047973707,-0.0186027749,-0.0108436961,0.0061477089,0.0052625842,-0.0037732522,-0.0022850552,-0.0015853955,0.0021527622,-0.0016503256,0.0008178023,-0.0056996009,-0.0011445792,0.0100054468,-0.0009338485,-0.0032930057,-0.0049775833,-0.0143212742,0.0084573563,0.0010503103,0.003690217,0.0002876725,0.0012615445,0.0041951827,-0.0034113649,0.0065910386,9.43624e-05,-0.0085152308,-0.0007657869,-0.0144646921,0.0193051784,-0.0078818458,0.0048024625,-0.0062687155,-0.0033193977,0.0080356189,0.0005515208,0.0009507847,0.0156379273,0.0066171944,-0.0037456419,0.0138567581,0.0015015222,-0.0039997314,-0.0024063084,0.0067343637,-0.0019876448,-0.0042262406,0.021801066,0.0048632507,0.0039730644,0.002636805,-0.0074589095,0.0123481093,-0.0012839273,-0.0101136446,0.0167057998,-0.0081913204,-0.0069578968,0.0007036915,-0.0002798368,-0.0002656888,0.0082268321,-0.0038045205,-0.0093508652,-0.0085132827,0.0180912039,-0.0026890087,-0.0004276717,-0.0081156141,-0.0056919268,0.0042747372,-0.0015008536
b2318,-0.001435241,-0.0046234277,-0.0013126277,-0.013251187,0.0079279865,0.0019408554,0.0040077431,0.0079820743,-0.0114958102,-0.0033953338,-0.0103595034,-0.0009718439,-0.0090176796,-0.0055929404,0.0005946685,-0.0052921908,-0.0050123024,0.0045019078,-0.0088696646,-0.0004782659,-0.001324791,-0.0232818978,0.0005208896,9.001420000000001e-05,0.0052068196,-0.0049132116,-0.0057308637,-0.0023114262,0.0001632787,-0.0010933017,-0.0001536874,0.0012903063,0.0046558392,0.0053829376,-0.0006648227,0.0042600166,-0.0036254226,-0.0054644623,-0.0081710169,-0.0047156785,0.0095965001,-0.0010236398,0.0082374033,-0.0084821886,-0.0029026245,0.0034464953,-0.0083216226,0.0010064969,-0.0055929192,0.0064349872,0.0020323033,0.0045692924,0.0043518252,-0.0136487604,-0.0021173784,-0.0129697564,0.0183208708,0.0006786004,-0.0015580225,-0.0062885234,0.0150723627,0.0059905742,-0.0032612598,-0.0014033662,-0.0030367934,-0.0026047802,-0.0008898156,0.0373860885,0.0001854887,-0.0055031909,-0.0072843175,0.0018908928,0.0126232014,0.0077935374,-0.0044490661,0.0129311717,-0.0060199981,-0.0116449342,0.0063726605,-0.0070496571,0.0032343161,0.0151772451,-0.0129800265,-0.0047403159,-0.0005795813,0.0044929361,-0.0051472086,2.42681e-05,0.0029475104,0.002876041,0.0038998077,-0.0001335074
b2319,0.0011355571,0.0017972558,0.0008241479,-0.010009784,0.0070075605,-0.0007003463,0.0037169234,0.0012992054,-0.009540282,0.0015234271,-0.0090952249,-0.006377123,-0.0014921794,-0.0047778568,-0.0013603394,0.0072231202,0.0003335489,0.0015190305,-0.0006030865,0.0056627674,-0.00433915,-0.0116817429,-4.86617e-05,-0.0021631447,0.0071979856,-0.0039402625,-0.0030676303,-0.0100449629,-0.0012429328,-0.0035488532,0.0017366727,0.0051227798,0.010176524,0.0035938431,-0.0112937786,-0.0015453625,-0.0034621393,-0.0061296952,-0.0041815338,0.0032173671,0.0031399164,-2.80577e-05,0.0007212908,0.0040383789,0.003517495,-0.013477112,-0.0092254537,0.0052339373,-0.0047561895,0.0037140925,-0.0048899881,0.0042166335,0.0029840962,-0.001620893,-0.0052836717,-0.0039573393,0.0155956163,-0.0002323946,0.0030774592,-0.0062320972,0.005675585,-0.0011132407,-0.0055924109,-0.0060065444,0.0028955709,-0.0044921928,0.0042405617,0.0090535536,-0.0024234627,-0.0037942737,-0.0081513347,-0.0054363841,0.0139984259,0.0057508457,0.0023711952,0.0045490361,-0.0077119156,-0.0100324952,-0.001919763,0.0038794504,0.0042780618,0.0065409848,-0.012559282,-0.0004482902,-0.0009006646,-0.0029987037,0.0012835923,0.0064044101,0.0024691884,-0.0089030393,0.0102693199,0.0030988621
b2320,0.0021562759,-0.0046852477,-0.0011695409,-0.0091648556,-0.0050543723,0.0021776159,0.0088659179,-0.0027655251,-0.0030351507,0.0086873299,-0.008020609,-0.0036693018,0.0086595043,0.004498422,-0.0071326797,-0.0065924363,-0.008157395,-0.0027638857,-0.0019689335,0.0053395406,-0.0068048108,-0.0055825732,0.0049284888,-0.0040344108,0.0050735874,4.74582e-05,-0.0058155505,0.0062596096,-0.0022402782,-0.0037389028,0.0037811448,-0.000219062,0.0061716802,-0.0061755421,0.003169755,-0.0061519942,0.001024755,0.0042334416,0.0020197525,-0.0050005202,-0.0042358809,-0.0013402372,0.0016084208,-0.0037553641,0.0007514881,-0.0137336654,-0.007605003,0.0010988707,-0.0023012011,0.0050569595,-0.0017281643,-0.0024201828,0.0029076292,-0.0004127889,-0.0004186668,-0.0019079624,-0.0012630602,-0.0016280091,-0.0030642179,-0.0039072991,0.0086626494,0.0075209217,-0.0047218149,-0.0002159467,0.0051460095,-0.0042580767,-0.0043466873,-0.0030613009,0.0017461365,0.0001196335,-0.0007731325,-0.0024135068,0.0042650312,0.0003958828,0.0003296274,-0.0022987005,0.0049137412,-0.0004199298,-0.0017166498,0.0102154004,-0.0060039522,0.0062592164,-0.0065485023,-0.001560203,0.0009890227,-0.0086008565,-0.0040136539,0.0051340397,-0.0118902555,-0.0055272599,-0.0054334583,-0.0063144274
b2321,-0.011853824,-0.0030245139,-0.0020715927,0.0033848396,-0.0029959849,-0.0051928295,-0.0090179467,0.005678364,-0.0002942218,0.00223356,-0.0008174968,0.0026065067,-0.0026196311,0.0004586331,-0.0024327072,-0.0075310906,0.0004448632,-0.0070289484,0.0027320155,-0.0028003109,-0.0043963667,0.0007661101,-0.004071957,-0.0058309088,-0.0088686134,-0.0038788299,-0.006161315,-0.0076539989,-0.0128137406,-6.244120000000001e-05,-0.0031604621,0.0011368511,-0.0057485704,0.0017608563,0.0015933112,0.0017158784,-0.0012145022,-0.0096015924,0.0037212865,0.008279235,-0.0001843366,-0.0012010776,0.0058706666,0.002590933,-0.0085661299,-0.0031387447,-0.0061673749,-0.0006505753,-0.010403636,-0.0076922848,-0.0018771126,-0.0032009436,0.0392887285,-0.0038445591,-0.0121348601,-0.0014762248,-0.0016263619,-0.0065552862,0.0001991846,-0.0006637718,-0.0030363051,0.000918643,-0.0023695751,-0.0080337515,-0.0032285453,-0.0022310318,-0.0013947309,-0.0008631866,-0.0050956514,0.0142275945,0.0031011249,0.0051018986,-0.0011359977,0.0052574464,-0.0015115576,0.0012593493,0.0051036347,0.0015060991,0.0011885991,-0.0044303079,-0.003002385,-0.0017575114,-0.0087825346,0.0045543442,-0.0006149541,0.0033917928,0.0048142622,0.0029774599,-0.0089076766,-0.0176697744,-0.0145919238,-0.0024779448
b2322,0.0227122781,0.0041140089,0.0034995407,-0.0020449144,0.0022699618,-0.0104936366,0.0059151941,-0.0090375034,-0.0116333965,0.0265799145,0.0112176276,0.0009764468,-0.0002988251,-0.0117013133,-0.0090926397,-0.0141981066,-0.0144453769,0.0023542079,0.0104834233,-0.0013209572,-0.0051518876,-0.0161927061,-0.0142392799,-0.0131180611,0.0148015943,-0.0244629234,0.0041268288,0.0106630072,-0.0105603335,0.0040777539,0.0109544332,-0.0026871545,-0.0039384714,-0.0014889313,0.0060030553,-0.0091288467,-0.0023609064,0.0074607814,0.0153523178,0.0130275736,-0.0001905121,0.0017616777,-0.0137735209,0.0136768004,-0.0039660695,-0.0095917774,-0.0065825904,-0.0034989523,0.004042761,0.0011497641,-0.0082495903,0.007747733,0.0181270574,0.0090035544,0.0042284602,0.0087924454,-6.771050000000001e-05,-0.0039857649,-0.0066503168,0.0075947371,-0.0076275973,-0.0139614491,0.0061975777,-0.0113828434,0.0006220136,-0.0084985514,0.0029890538,-0.002224694,-0.0028397524,0.0072160335,0.0265677682,-0.008025476,0.0045421445,-0.0080226931,0.0070475558,-0.0059061185,-0.0066312598,0.0029659617,-0.0126909359,-0.0005428004,0.0012192623,0.0280366958,-0.0133271731,-0.0015056969,-0.0086653996,0.0147768414,0.00068931,2.09529e-05,-0.0084606658,-0.0041326764,0.0110880359,-0.0067919916
b2323,0.0026535108,-0.0004002471,-0.0213893084,-0.0105975192,-0.0032796102,0.113609888,-0.0343287829,-0.0084510517,-0.0056614875,0.0079522853,-0.0060067416,-0.0226244227,0.0102830824,0.0107401052,0.0129595626,0.0117192327,0.0155281321,0.0097367143,-0.0147960692,0.0031226987,-0.0005137611,0.0034365103,-0.0064175325,0.0190374755,-0.0166660527,0.0050905741,0.0261491425,0.0167755665,0.0170432798,-0.0011726187,0.0487295293,-0.0088066228,0.0047648582,-0.0123211524,-0.0206868587,-0.0016871411,0.0077995554,-0.0032618528,0.0003548642,0.0190953899,-0.0081873666,0.0006852247,0.0177707322,0.0070311133,-0.0101539528,-0.0086342575,-0.0274108132,-0.0033942093,-0.009567942,-0.01424946,0.0071816419,-0.0091384853,0.0032246431,-0.0068622875,0.0013339928,-0.0043341027,0.0128240159,0.0125311425,-0.0005832895,-0.0024033511,-0.0071453279,0.0130706535,-0.0046759125,0.0051984668,-0.0001721751,0.0013109125,-0.0203385709,0.0374047574,-0.00985511,-0.0160054304,-0.0199727973,0.0131919457,0.0137228494,-0.0067872966,-0.009652526,-0.0043830519,-0.0338999667,0.0001516987,-0.0037683866,-0.0023177748,0.0006445242,-0.0118772784,-0.0026214943,-0.0042820659,-0.0132246498,-0.0332849279,-0.0108236921,0.0097124043,-0.001407461,-0.0151412549,-0.0041372191,0.0156026331
b2324,0.0020073422,-0.0001130813,0.0018510291,-0.0071201124,-0.0032587516,0.0359649231,-0.0087348417,0.0017098185,0.0016047553,-0.0097511985,-0.0146976934,-0.0015879699,0.0060127234,5.09386e-05,-0.0013474502,-0.0017213036,-0.0009583673,-0.0013417775,-0.0038737156,0.0013739153,-0.0144338578,0.0009586632,0.0108694036,0.009198139,-0.0029085161,0.0029780749,0.0076848996,0.0039118706,-0.0026061605,-0.0113123771,0.0046983433,-0.0018004617,-0.0009708984,-0.0048521016,-0.0040273725,0.0048526142,-0.0035155304,-0.002510097,0.0036087714,0.0043252267,0.0011729209,-0.0006872537,0.0139816724,-0.0056229994,-0.012529254,0.0002518746,-0.010669529,0.0139586725,-0.0046397111,-0.0138857258,0.0034505407,-0.003832692,0.0001280924,-0.0009924872,-0.0019773719,-0.0007155853,0.0063195791,0.0028954987,-0.0089410293,-0.0063067083,0.0016318991,0.0073184822,-0.0053613618,-0.000726324,0.0004195419,0.0052005804,-0.0091063193,0.0026117933,-0.001864267,-0.0054955397,-0.0040062864,0.0109710476,-0.0022859839,-0.0042034401,-0.0159050397,0.0042066632,-0.0050207002,-0.0032899462,0.0001264192,0.0047829668,0.004865883,0.0057201319,-0.0069926935,-0.0086385037,-0.004760726,-0.0010768941,-0.0016552626,0.0116368038,-0.0074380229,-0.0128887626,-0.0036897376,0.009110425
b2325,-0.0120274123,-0.0037942912,-0.0033304615,0.0057572689,0.0036715339,0.0206109101,-0.0145584223,0.0063291105,-0.0038545055,-0.0050348216,-0.0160126334,0.0044193161,-0.0020591635,0.002707829,-0.000978804,0.0065238093,0.0027807387,-0.0152715487,-0.0064310107,0.0009284094,-0.0038595764,0.0111949475,0.0082446796,-0.0136186968,-0.0048572568,0.00503174,-0.0009148099,-0.0102893203,-0.0072021633,-0.0160981971,-0.0047563919,0.0031959217,0.0303550852,0.0194516834,-0.0145299527,0.0126325016,-0.0050712348,-0.0211135865,0.0037353432,0.008654155,-0.0007399553,-0.0013364599,0.0054580805,-0.0074736744,-0.007236317,-0.0189267497,-0.0014319971,0.000292423,-0.005374163,-0.0045512613,-0.0055966076,-0.0009636687,0.0225648005,0.0124299085,-0.0053006134,0.0065913796,0.0148573837,-0.0162397682,-0.0024497318,-0.0091946774,0.0054267933,-0.0020727961,0.0063453022,0.007498658,0.001951505,0.009511579,0.0054614905,-0.0140555809,-0.0012512172,-0.0094254202,-0.0029728352,0.0022390134,-0.0013521693,0.0034126458,-0.0124585558,0.006741658,-0.0056271305,-0.0168067786,-0.0097408446,0.0028715142,-0.0218672638,0.0032451285,-0.0136037627,-0.0010244365,-0.0073590086,0.0152722902,-0.0115165495,-0.013739163,0.0058341144,0.0049663642,-0.0116295864,-0.0035337917
b2326,0.001665741,-0.0067975253,-0.0037661368,-0.0047422631,0.0044180013,0.0079697605,-0.008176871,-0.00068597,0.0001796437,0.0137588042,-0.0022482808,0.0118830021,-0.0005614744,-0.0035408337,0.0050110457,0.0005775527,0.0055479893,0.0029570387,-0.0056439894,0.0040678939,0.0043285624,0.0018064627,0.0111207838,-0.0153556819,0.0074752127,-0.0013225777,0.0069324782,0.0053895558,-0.0015378131,-0.0048640453,-0.0148535086,-0.0006519654,0.0030857736,0.0011238888,0.0095402638,0.0081484435,0.0054274238,-0.0172263882,-0.0026229678,-0.0022515731,-0.0015138177,-0.0004587533,0.0086923864,0.0059294366,0.0023331312,0.0050316403,0.0108502577,-0.0031897278,-0.0026621531,0.0019795235,-0.0065544643,-0.0009321189,0.0183073681,-0.0031597191,-0.0049348516,0.0014799498,0.0011852996,0.0085898022,-0.0030972679,-0.0020853325,0.0086801863,0.0059784517,-0.0033497879,0.0025926165,-0.0029783095,0.0072071433,-0.0003506033,-0.0084211925,-0.0042850435,-0.0013464764,0.0008434605,0.0012504595,-0.0069899481,-0.0048394421,0.0041982113,0.0225487234,-0.0088917748,0.002140633,-0.0022951395,0.0013457571,-0.007152026,-0.0022166617,0.0003723852,-0.0066509297,0.0070761323,0.0218458965,-0.016546968,-0.0005126759,0.0046977294,-0.0011708064,0.0042874716,0.0087755771
b2327,0.0055287598,-0.0043237769,-0.0014224717,-0.0040332437,-0.0029476347,0.0024468503,0.0023185718,-0.0028866542,-0.0030799081,0.001253833,-0.0035960438,0.0053839707,0.0041632519,-0.015073383,0.0044693858,-5.25299e-05,0.0082990453,-0.0028873203,-0.0081129609,0.0030911164,-0.0067238965,0.0028500532,0.0007150384,-0.0013049836,-0.0039705039,-0.0080955736,-0.0014838543,-0.0088072317,0.0011888453,0.0005957904,-0.0170419818,-0.0041318137,0.0035189593,0.0011066565,0.008600071,0.0018795263,-0.0077828241,-0.0051454918,0.0016674998,-6.756600000000001e-06,-0.0003576884,-0.0033705167,-0.0021510898,0.0069041696,-9.43864e-05,-0.0090847312,0.0145440475,-0.0018761001,-0.0062390049,0.0122806145,0.0051253463,-0.0025804449,0.0169682949,0.0006440409,-0.0087259321,-0.0013281286,0.0022827402,-0.0014613293,-0.0045245135,0.0033748732,0.0055988778,0.002365321,-0.0012382137,-0.0032647168,-0.0064654951,0.0030509872,-0.0053510419,-0.0033527136,-0.0011053963,-0.0058669971,-0.0008278454,-0.0012504248,0.0019352289,-0.0047137953,0.0132429571,0.0075922837,-0.0105813268,0.0046977703,-0.0020827032,-0.0027858086,-0.0020005293,-0.0007824029,0.0017911933,0.0024488228,-0.0078460354,0.0216769905,-0.008494968,3.1380000000000003e-06,0.0054483185,0.0098542013,0.0061072958,0.0048803694
b2328,-0.0024231812,0.0041330264,-0.0016235169,-0.0162808974,0.0005338746,0.0030456973,2.18522e-05,-0.0133318048,-0.0047552956,-7.7811e-06,0.0013563409,-0.0035124477,0.0040148892,-0.0052353924,-0.0003473264,-0.0025680745,0.0093002767,-0.0021878879,0.0036354841,0.0027233162,-0.0018882249,-0.0056522169,0.0055012063,0.0057543893,0.0038397777,-0.0040061529,-0.0110476364,-0.0087497701,-0.002229838,-0.0020753944,-0.0033348747,-9.97625e-05,0.0083158485,0.0055974668,0.0009064135,0.0014619781,-0.0047451155,0.0092915229,-0.0007875515,-0.0031927567,-0.0019483134,-0.0013848618,-0.0012673316,0.0035124466,-0.0073657321,-0.0094056286,0.005539105,-0.0002720844,-2.08904e-05,0.0039845503,0.0014940126,0.0041716985,0.0161368252,-0.0004583784,-0.0081999168,-0.0027253048,0.0046129244,0.0005692524,-0.0021538474,-0.0027037273,0.0072950516,-0.0027847059,-0.0002878443,-0.0050537028,-0.0018486963,-0.0120658552,-0.0038401999,-0.014494473,0.000591192,-0.0077995708,-0.0073493144,0.0018644281,-0.0039389575,0.0024734796,0.0042191193,0.0023888761,0.0017677099,-0.0021782429,-0.0034486358,-0.0034444539,-0.0068499077,0.003619316,-0.0020128426,-0.0032041268,-0.0018351343,0.0066631546,-0.0010547209,-0.0045905755,0.0011495505,-1.93108e-05,0.0008548133,0.0024509538
b2329,-0.0008399162,0.0003821267,-0.0037190661,-0.0065042801,-0.0020142196,0.0039263207,-0.003289062,-0.0037026263,-0.0025130151,0.0014933374,-0.0053497982,-0.0110027166,-0.0022420733,-0.0106666309,-0.0003564743,-0.0080065908,0.0078216816,-0.0017862567,-0.0016278458,0.0053478185,-0.0031260167,-0.0029441059,0.0009438524,-0.002895653,0.0070076039,-0.0015284194,-0.0022202923,-0.0048141255,-0.000566913,0.0006038922,-0.001173924,0.0022068156,0.0069549151,-0.0021328236,0.0051481002,0.00061587,-0.0081115984,-0.0072508209,0.0025624908,-0.001723862,-0.0003729664,-0.002064107,-0.0007284721,0.0100332967,-0.0028125699,-0.0050152273,-0.0047545172,-0.0021539155,-0.0013185488,0.0079675644,-6.10957e-05,0.0007407953,0.0052169865,0.0003514169,-0.0027253081,-0.0027876849,0.0040170773,0.0038850192,0.0004291025,-0.0030248807,0.0031142177,0.0039010941,-0.0007850839,-0.0019134722,-0.0030635522,-0.0074035745,0.0016523503,-0.0126050366,0.0014138432,-0.0069934453,-0.0023472915,-0.0005017758,0.0048765595,0.0029102922,-0.0050882306,0.0008497972,-0.0054992554,-0.0084484872,-9.91721e-05,0.003308425,-0.0042538874,0.0100665866,-0.0061454013,-0.0066183372,-0.0025961813,-0.0049787317,-0.0026819067,-0.0009916929,-0.0004725646,-0.0099536426,-0.0007108517,-0.0005685476
b2330,-0.0031305118,-0.0006857534,-0.0069674382,0.0029388179,-0.0001476401,-0.0020293237,-0.0187431756,-0.0005311992,-0.0014387844,0.0097059032,0.0034007993,-0.012457711,-0.0024892873,-0.0101809909,-0.0022217896,0.0025945088,0.0012399495,0.0018349886,0.0036858312,0.0009341151,-0.0056829435,0.0029690493,0.0023880165,0.0099156739,0.0044304861,0.0018538414,0.0004223305,0.0007264986,-0.0082219312,0.0107727559,-0.0037446051,0.0010139041,0.0035845481,-0.0100789934,0.0065420192,-0.0011664306,0.0011737331,0.007655119,-0.0018602088,0.000910465,-0.0005398066,-0.0036372979,0.0022689792,-0.0027299857,-0.0065789455,-0.0095939961,-0.0053035764,-0.0007776796,-0.0045323216,0.0039287034,-0.0008621611,-0.0051425791,0.0090403874,-0.0029132012,-0.0069262807,0.0002926428,0.0036107479,-0.004156534,0.001483317,0.0026868965,-0.0013159861,-0.0016258709,-0.0025310973,-0.0027940714,-0.0028630171,-0.0044393408,-0.0097983347,-0.006440503,0.0019333528,0.0024138557,-0.0028190542,0.0075525683,-0.001176043,0.0005279897,-0.0032562449,-0.0004088055,-0.0023395988,-0.0104241426,-0.0025270465,-0.0001769014,0.0031904668,-0.0035011158,-0.003598022,-0.0052602786,0.0006048357,-0.012840263,-0.0068249696,0.0024665808,-0.0035390752,-0.0095580343,-0.0079447086,-0.0017509477
b2331,-0.0061075176,-0.0013796853,0.0042783832,-0.0033002552,-0.0078188024,-0.0009003867,0.003794179,0.0035478989,0.0032828373,0.0045383707,-0.0116531131,0.0109397861,-0.0095729891,0.0024320992,0.0017225269,-0.0046863228,-0.002053272,-0.0016977059,0.0109398161,-0.0065437786,-0.0012039739,0.0143071532,0.0041022806,0.0011723611,0.0007444056,0.003404739,0.0006409059,0.0095603204,-0.005150675,-0.0040722012,0.0040707872,0.0016696655,-0.0029052827,0.0004610832,0.0041602093,-0.0070967164,0.001112587,-0.0113954925,0.001510656,0.004745354,0.0002637025,0.0010413157,-0.0080297933,0.0125986527,-0.0035436048,0.0006515089,-0.0164303132,-0.0029265016,0.004956045,-0.0047333552,-0.0038352807,-0.0057750523,0.0025640413,0.0016774055,0.0024009938,0.002951159,-0.0042058202,-0.0037576212,0.0006740621,0.0028506771,0.0026794005,0.0059052878,0.0016664256,-0.0025197712,-0.000297285,-0.0006847098,0.0052789691,-0.0109588502,1.28508e-05,-0.0056936773,-0.0054795584,0.0044401551,-0.0072021539,-0.0069101471,-0.0047203666,0.0015906135,0.0095770183,-0.0064982649,-0.0083710593,-0.0091279227,-0.0066248329,0.0006984282,-0.0143848048,-0.011429512,-3.2715e-06,0.0100830813,0.0037822283,0.0089722009,-0.0002467459,0.0017811177,0.0003695053,0.0048121246
b2332,0.0020974151,0.0001764607,0.0009706154,-0.0085316184,-0.0051564889,0.0034190933,-0.0124233197,0.0058112627,0.0048457905,-0.0039635291,-0.0030792678,0.0085316785,-0.007582711,-0.0107404993,0.0007283542,-0.0007114427,0.0065492054,0.0041792137,-0.0048128542,-0.0041617305,-0.001907237,0.0319808282,1.04552e-05,0.0115842298,0.0008584493,-0.0029548059,0.0007413932,0.0041334973,0.0058252365,-0.015819876,-0.0043687683,0.0040277995,-0.0170230354,-0.0018542989,9.18223e-05,-0.0031682541,0.0006262647,0.000488288,-0.0105720679,-0.003053199,-0.0052062675,-0.001706668,0.0014427303,-0.0036822393,-0.0048629939,9.75496e-05,-0.0033486383,-0.0032838906,-0.0013959547,-0.017752088,0.0014367467,-0.0017753788,-0.0185205206,0.0074771223,-0.000237832,-0.0047095594,0.0082663994,0.0033625097,-0.0022800888,-0.0039964257,-0.0064021409,0.0015068212,-0.0013533275,0.0063977326,-0.0063545378,-0.0018469343,0.0013242443,-0.0006023681,0.000718754,0.0030522294,-0.003017312,-0.0036942744,0.0136710509,-0.0005981289,-0.0031230336,0.005536036,0.0029067563,-0.008545956,0.0007362344,0.0008968478,-0.0040649245,0.0013498594,-0.0091096839,-0.0064322588,0.0055585351,0.0046703538,-0.0022394448,0.0095125658,-0.0073149934,0.0135895215,-0.0032215269,0.0100504466
b2340,0.008644506,-0.0035894412,-0.0008674635,0.0160562006,-0.0072088712,0.005607056,-0.0078011058,-0.0014024415,0.0097346505,-0.0022408315,0.0012683343,-0.0071073159,-0.0016682804,0.0069645909,-0.0085117999,-0.0060061934,0.0059518219,0.0061118207,-0.0008967264,0.0044426212,0.0027321017,-0.0096306236,-0.0082802427,0.0161475247,-0.0108305911,-0.0087185965,0.0042219131,-0.0188287733,0.0031913386,0.0043224037,0.0066648703,-0.00065758,-0.0075614863,0.0070409261,-0.01294694,-0.0018632365,0.0274314445,-0.0068254783,0.003996404,0.0111611276,-0.0164212071,0.0012233572,-0.0136977349,0.0041790732,-0.0064097248,-0.0119257021,-0.0114115717,0.004557138,-0.0088792584,-0.0159395472,0.007275083,-0.0032027144,0.0228400278,0.0069399905,0.0039264718,-0.006465005,0.0012192563,0.0211853034,0.0026765136,-0.0049981314,-0.0033133701,0.0016690287,-0.0008722359,-0.0022872998,-0.009767208,0.0014973018,0.0006029411,0.0011862288,-0.0072803225,-0.0070478417,-0.003571693,-0.0128236573,0.0123148263,0.0026641556,-0.0132764183,0.0008350205,0.0067711323,-0.0064137709,-0.0005633671,-0.0078987831,-0.0047707004,0.0075788774,-0.0058813284,0.0217781163,-0.0022714886,-0.0154746472,-0.0049009094,-0.0040228576,-0.0087071811,-0.0001995882,-0.0038187559,0.0111683058
