Module_ID	GO_ID	GO_desc	q-value
M56.3	GO:0071973	bacterial-type flagellum-dependent cell motility	0.0187374751787
M56.30	GO:0010124	phenylacetate catabolic process	0.0000083786320655
M56.31	GO:0006857	oligopeptide transport	0.0462590299144
M56.31	GO:0009061	anaerobic respiration	0.0042685605195
M56.31	GO:0015031	protein transport	0.00000159084458427
M56.31	GO:0071249	cellular response to nitrate	0.0462590299144
M56.31	GO:0071250	cellular response to nitrite	0.0462590299144
M56.33	GO:0008643	carbohydrate transport	0.00755920832411
M56.33	GO:0019303	D-ribose catabolic process	0.000140357100684
M56.33	GO:0046101	hypoxanthine biosynthetic process	0.0344457920713
M56.34	GO:0015949	nucleobase-containing small molecule interconversion	0.00166088925215
M56.35	GO:0000050	urea cycle	0.000183618874738
M56.35	GO:0006526	arginine biosynthetic process	0.00000000000187267191619
M56.35	GO:0006865	amino acid transport	0.0151552556193
M56.35	GO:0044238	primary metabolic process	0.00637099085767
M56.35	GO:1902765	L-arginine import into cell	0.0013167406149
M56.36	GO:0009636	response to toxic substance	0.0344457920713
M56.36	GO:0046677	response to antibiotic	0.000183618874738
M56.39	GO:0000162	tryptophan biosynthetic process	0.000000000000180653638298
M56.39	GO:0009073	aromatic amino acid family biosynthetic process	0.00013886603039
M56.4	GO:0006730	one-carbon metabolic process	0.000109538870646
M56.4	GO:0006783	heme biosynthetic process	0.00412689763151
M56.4	GO:0006979	response to oxidative stress	0.0336355918977
M56.4	GO:0009086	methionine biosynthetic process	0.000000732900567227
M56.4	GO:0045454	cell redox homeostasis	0.000379141994613
M56.4	GO:0046654	tetrahydrofolate biosynthetic process	0.011178605749
M56.4	GO:0051409	response to nitrosative stress	0.00155565521003
M56.40	GO:0042493	response to drug	0.0390486147412
M56.41	GO:0019284	L-methionine biosynthetic process from S-adenosylmethionine	0.0153777948348
M56.43	GO:0006119	oxidative phosphorylation	0.000166439608541
M56.43	GO:0019646	aerobic electron transport chain	0.000766269671363
M56.44	GO:0071421	manganese ion transmembrane transport	0.0153777948348
M56.44	GO:2000144	positive regulation of DNA-templated transcription, initiation	0.0259194175634
M56.45	GO:0008643	carbohydrate transport	0.0390486147412
M56.47	GO:0006633	fatty acid biosynthetic process	0.040382685605
M56.47	GO:0045717	negative regulation of fatty acid biosynthetic process	0.00902113211844
M56.48	GO:0006276	plasmid maintenance	0.023982606221
M56.48	GO:0006310	DNA recombination	0.0481849893442
M56.48	GO:0031564	transcription antitermination	0.023982606221
M56.48	GO:0042150	plasmid recombination	0.0124245592359
M56.48	GO:0043171	peptide catabolic process	0.00902113211844
M56.49	GO:2000143	negative regulation of DNA-templated transcription, initiation	0.0124245592359
M56.5	GO:0006097	glyoxylate cycle	0.0000123726148845
M56.5	GO:0006099	tricarboxylic acid cycle	0.0119565698038
M56.5	GO:0006631	fatty acid metabolic process	0.0112073950081
M56.5	GO:0006633	fatty acid biosynthetic process	0.00000000371104627205
M56.5	GO:0006635	fatty acid beta-oxidation	0.000140357100684
M56.5	GO:0008610	lipid biosynthetic process	0.00800467205193
M56.5	GO:0009102	biotin biosynthetic process	0.0213995108816
M56.5	GO:0030497	fatty acid elongation	0.00110118153354
M56.5	GO:0042759	long-chain fatty acid biosynthetic process	0.00110118153354
M56.5	GO:2001295	malonyl-CoA biosynthetic process	0.000019076349792
M56.50	GO:0006412	translation	0.0100544519901
M56.50	GO:0034224	cellular response to zinc ion starvation	0.0208656719991
M56.51	GO:0006534	cysteine metabolic process	0.0382458449193
M56.51	GO:0016226	iron-sulfur cluster assembly	0.00000199932461723
M56.51	GO:0031119	tRNA pseudouridine synthesis	0.0475656613906
M56.51	GO:0060702	negative regulation of endoribonuclease activity	0.0475656613906
M56.52	GO:0009242	colanic acid biosynthetic process	0.0390486147412
M56.54	GO:0000413	protein peptidyl-prolyl isomerization	0.040382685605
M56.54	GO:0009166	nucleotide catabolic process	0.0259194175634
M56.54	GO:0044206	UMP salvage	0.0259194175634
M56.55	GO:0009089	lysine biosynthetic process via diaminopimelate	0.0324352031831
M56.55	GO:0010628	positive regulation of gene expression	0.0153777948348
M56.6	GO:0005975	carbohydrate metabolic process	0.000125008585947
M56.6	GO:0006048	UDP-N-acetylglucosamine biosynthetic process	0.0000135654042965
M56.6	GO:0009401	phosphoenolpyruvate-dependent sugar phosphotransferase system	0.00329098148489
M56.6	GO:0034219	carbohydrate transmembrane transport	0.0250941146461
M56.6	GO:0052777	diacetylchitobiose catabolic process	0.000925838843237
M56.6	GO:1902815	N,N'-diacetylchitobiose import	0.0000135654042965
M56.7	GO:0005978	glycogen biosynthetic process	0.0462590299144
M56.7	GO:0030261	chromosome condensation	0.000652954177745
M56.7	GO:0032297	negative regulation of DNA-dependent DNA replication initiation	0.0259194175634
M56.8	GO:0019698	D-galacturonate catabolic process	0.000000664970798849
M56.8	GO:0042840	D-glucuronate catabolic process	0.0439949131533
M56.9	GO:0005975	carbohydrate metabolic process	0.0395425663424
M56.9	GO:0030980	alpha-glucan catabolic process	0.000619304315849
M56.9	GO:0042956	maltodextrin transport	0.00168908912786
M56.9	GO:0051692	cellular oligosaccharide catabolic process	0.040382685605
M57	GO:0006824	cobalt ion transport	0.0295513400833
M57	GO:0006829	zinc ion transport	0.0208656719991
M57	GO:0035444	nickel cation transmembrane transport	0.0295513400833
M57	GO:0046686	response to cadmium ion	0.0153777948348
M57	GO:0070574	cadmium ion transmembrane transport	0.0153777948348
M57	GO:0071577	zinc ion transmembrane transport	0.0153777948348
M58	GO:0009401	phosphoenolpyruvate-dependent sugar phosphotransferase system	0.00179084361162
M58	GO:0015796	galactitol transport	0.000000664970798849
M58	GO:0019402	galactitol metabolic process	0.00000213488825234
M58	GO:0019404	galactitol catabolic process	0.000000664970798849
M58	GO:2001059	D-tagatose 6-phosphate catabolic process	0.000652954177745
M59	GO:0046688	response to copper ion	0.000298352159202
M6	GO:0006281	DNA repair	0.010155702692
M6	GO:0006307	DNA dealkylation involved in DNA repair	0.000000583647527995
M6	GO:0042245	RNA repair	0.0344457920713
M6	GO:0080111	DNA demethylation	0.0000664932137756
M60	GO:0019629	propionate catabolic process, 2-methylcitrate cycle	0.000000105863428315
M60	GO:0019679	propionate metabolic process, methylcitrate cycle	0.000360404393994
M61	GO:0006542	glutamine biosynthetic process	0.0382458449193
M61	GO:0009447	putrescine catabolic process	0.00000000000000170517330328
M62	GO:0006355	regulation of transcription, DNA-templated	0.0254385434761
M62	GO:0006402	mRNA catabolic process	0.0481747873501
M62	GO:0017148	negative regulation of translation	0.040382685605
M62	GO:0034198	cellular response to amino acid starvation	0.0153777948348
M63	GO:0034194	D-galactonate catabolic process	0.000000374046074353
M64	GO:0006266	DNA ligation	0.0208656719991
M64	GO:0006396	RNA processing	0.000360404393994
M64	GO:0042245	RNA repair	0.027581255782
M65	GO:0046348	amino sugar catabolic process	0.0259194175634
M66	GO:0010045	response to nickel cation	0.0390486147412
M66	GO:0035444	nickel cation transmembrane transport	0.00071434539741
M7	GO:0009435	NAD biosynthetic process	0.00071434539741
M7	GO:0034628	'de novo' NAD biosynthetic process from aspartate	0.000452892984951
M8	GO:0017148	negative regulation of translation	0.040382685605
M8	GO:0043488	regulation of mRNA stability	0.0259194175634
M9	GO:0006814	sodium ion transport	0.0390486147412
